SiteID,Treatment,date,rainday (in),flowday (in),TSS lbs/ac
ARM,control,10/6/2020,0,0, 
ARM,control,10/5/2020,0,0, 
ARM,control,10/4/2020,0,0, 
ARM,control,10/3/2020,0.0787402,0, 
ARM,control,10/2/2020,0,0, 
ARM,control,10/1/2020,0,0, 
ARM,control,9/30/2020,0,0, 
ARM,control,9/29/2020,0,0, 
ARM,control,9/28/2020,0,0, 
ARM,control,9/27/2020,0.0393701,0, 
ARM,control,9/26/2020,0,0, 
ARM,control,9/25/2020,0,0, 
ARM,control,9/24/2020,0,0, 
ARM,control,9/23/2020,0,0, 
ARM,control,9/22/2020,0,0, 
ARM,control,9/21/2020,0,0, 
ARM,control,9/20/2020,0,0, 
ARM,control,9/19/2020,0,0, 
ARM,control,9/18/2020,0,0, 
ARM,control,9/17/2020,0,0, 
ARM,control,9/16/2020,0,0, 
ARM,control,9/15/2020,0,0, 
ARM,control,9/14/2020,0,0, 
ARM,control,9/13/2020,0,0, 
ARM,control,9/12/2020,0,0, 
ARM,control,9/11/2020,0.0787402,0, 
ARM,control,9/10/2020,0.0787402,0.000495469, 
ARM,control,9/9/2020,0.9055123,0.001943141, 
ARM,control,9/8/2020,0.8661422,0, 
ARM,control,9/7/2020,0.0787402,0, 
ARM,control,9/6/2020,0,0, 
ARM,control,9/5/2020,0,0, 
ARM,control,9/4/2020,0,0, 
ARM,control,9/3/2020,0,0, 
ARM,control,9/2/2020,0,0, 
ARM,control,9/1/2020,0,0, 
ARM,control,8/31/2020,0,0, 
ARM,control,8/30/2020,0,0, 
ARM,control,8/29/2020,0,0, 
ARM,control,8/28/2020,0,0, 
ARM,control,8/27/2020,0,0, 
ARM,control,8/26/2020,0,0, 
ARM,control,8/25/2020,0,0, 
ARM,control,8/24/2020,0,0, 
ARM,control,8/23/2020,0,0, 
ARM,control,8/22/2020,0,0, 
ARM,control,8/21/2020,0,0, 
ARM,control,8/20/2020,0,0, 
ARM,control,8/19/2020,0,0, 
ARM,control,8/18/2020,0,0, 
ARM,control,8/17/2020,0,0, 
ARM,control,8/16/2020,0,0, 
ARM,control,8/15/2020,0,0, 
ARM,control,8/14/2020,0,0, 
ARM,control,8/13/2020,0,0, 
ARM,control,8/12/2020,0,0, 
ARM,control,8/11/2020,0,0, 
ARM,control,8/10/2020,0,0, 
ARM,control,8/9/2020,0.0393701,0, 
ARM,control,8/8/2020,0,0, 
ARM,control,8/7/2020,0,0, 
ARM,control,8/6/2020,0,0, 
ARM,control,8/5/2020,0,0, 
ARM,control,8/4/2020,0,0, 
ARM,control,8/3/2020,0,0, 
ARM,control,8/2/2020,0,0.008275501, 
ARM,control,8/1/2020,0.0787402,0.003777604, 
ARM,control,7/31/2020,0,0, 
ARM,control,7/30/2020,0,0.016650264, 
ARM,control,7/29/2020,0.4330711,0.006235543, 
ARM,control,7/28/2020,0,0, 
ARM,control,7/27/2020,0,0.011315125, 
ARM,control,7/26/2020,0.5118113,0.012277012, 
ARM,control,7/25/2020,0,0, 
ARM,control,7/24/2020,0,0.006118747, 
ARM,control,7/23/2020,1.6141741,0.008668537, 
ARM,control,7/22/2020,0,0, 
ARM,control,7/21/2020,0,0, 
ARM,control,7/20/2020,0.0393701,0, 
ARM,control,7/19/2020,0,0, 
ARM,control,7/18/2020,0.0393701,0, 
ARM,control,7/17/2020,0,0, 
ARM,control,7/16/2020,0,0, 
ARM,control,7/15/2020,0.0787402,0, 
ARM,control,7/14/2020,0,0, 
ARM,control,7/13/2020,0,0, 
ARM,control,7/12/2020,0,0, 
ARM,control,7/11/2020,0,0, 
ARM,control,7/10/2020,0,0, 
ARM,control,7/9/2020,0,0, 
ARM,control,7/8/2020,0,0, 
ARM,control,7/7/2020,0,0, 
ARM,control,7/6/2020,0,0, 
ARM,control,7/5/2020,0,0, 
ARM,control,7/4/2020,0,0, 
ARM,control,7/3/2020,0,0, 
ARM,control,7/2/2020,0,0, 
ARM,control,7/1/2020,0.8661422,0, 
ARM,control,6/30/2020,0,0, 
ARM,control,6/29/2020,0,0, 
ARM,control,6/28/2020,0.1181103,0, 
ARM,control,6/27/2020,0,0, 
ARM,control,6/26/2020,0,0, 
ARM,control,6/25/2020,0,0, 
ARM,control,6/24/2020,0,0, 
ARM,control,6/23/2020,0,0, 
ARM,control,6/22/2020,0,0, 
ARM,control,6/21/2020,0,0, 
ARM,control,6/20/2020,0,0, 
ARM,control,6/19/2020,0.1968505,0, 
ARM,control,6/18/2020,0,0, 
ARM,control,6/17/2020,0,0, 
ARM,control,6/16/2020,0,0, 
ARM,control,6/15/2020,0,0, 
ARM,control,6/14/2020,0,0, 
ARM,control,6/13/2020,0,0, 
ARM,control,6/12/2020,0,0, 
ARM,control,6/11/2020,0,0, 
ARM,control,6/10/2020,0.0393701,0.000562643, 
ARM,control,6/9/2020,0.5511814,0.000255613, 
ARM,control,6/8/2020,0,0, 
ARM,control,6/7/2020,0,0, 
ARM,control,6/6/2020,0,0, 
ARM,control,6/5/2020,0,0, 
ARM,control,6/4/2020,0,0, 
ARM,control,6/3/2020,0,0, 
ARM,control,6/2/2020,0,0, 
ARM,control,6/1/2020,0,0, 
ARM,control,5/31/2020,0,0, 
ARM,control,5/30/2020,0,0, 
ARM,control,5/29/2020,0,0, 
ARM,control,5/28/2020,0,0, 
ARM,control,5/27/2020,0,0.018812919, 
ARM,control,5/26/2020,0.2362206,0.02864181, 
ARM,control,5/25/2020,0.2755907,0.006169935, 
ARM,control,5/24/2020,1.0629927,0.021160461, 
ARM,control,5/23/2020,0.4330711,0.012166902, 
ARM,control,5/22/2020,0.0393701,0, 
ARM,control,5/21/2020,0,0, 
ARM,control,5/20/2020,0,0, 
ARM,control,5/19/2020,0,0, 
ARM,control,5/18/2020,0,0, 
ARM,control,5/17/2020,0,0.000499041, 
ARM,control,5/16/2020,0.6692917,0.001385483, 
ARM,control,5/15/2020,0,0, 
ARM,control,5/14/2020,0.3543309,0, 
ARM,control,5/13/2020,0,0, 
ARM,control,5/12/2020,0,0, 
ARM,control,5/11/2020,0,0, 
ARM,control,5/10/2020,0,0, 
ARM,control,5/9/2020,0,0, 
ARM,control,5/8/2020,0,0, 
ARM,control,5/7/2020,0.0393701,0, 
ARM,control,5/6/2020,0,0, 
ARM,control,4/23/2020,0,0, 
ARM,control,4/22/2020,0.0393701,0, 
ARM,control,4/21/2020,0,0, 
ARM,control,4/20/2020,0.0393701,0, 
ARM,control,4/2/2020,0,0, 
ARM,control,4/1/2020,0,0, 
ARM,control,3/31/2020,0,0, 
ARM,control,3/30/2020,0,0, 
ARM,control,3/29/2020,0,0, 
ARM,control,3/28/2020,0,0, 
ARM,control,3/27/2020,0,0, 
ARM,control,3/26/2020,0,0, 
ARM,control,3/25/2020,0,0, 
ARM,control,3/24/2020,0,0, 
ARM,strips,10/6/2020,0,0, 
ARM,strips,10/5/2020,0,0, 
ARM,strips,10/4/2020,0,0, 
ARM,strips,10/3/2020,0.0787402,0, 
ARM,strips,10/2/2020,0,0, 
ARM,strips,10/1/2020,0,0, 
ARM,strips,9/30/2020,0,0, 
ARM,strips,9/29/2020,0,0, 
ARM,strips,9/28/2020,0,0, 
ARM,strips,9/27/2020,0.0393701,0, 
ARM,strips,9/26/2020,0,0, 
ARM,strips,9/25/2020,0,0, 
ARM,strips,9/24/2020,0,0, 
ARM,strips,9/23/2020,0,0, 
