SiteID,Treatment,date,rainday (in),flowday (in),TSS lbs/ac
ARM,control,3/9/2016,0,0, 
ARM,control,3/10/2016,0,0, 
ARM,control,3/11/2016,0,0, 
ARM,control,3/12/2016,0,0, 
ARM,control,3/13/2016,0,0, 
ARM,control,3/14/2016,0,0, 
ARM,control,3/15/2016,0.3149608,1.03E-06, 
ARM,control,3/16/2016,0,0, 
ARM,control,3/17/2016,0,0, 
ARM,control,3/18/2016,0,0, 
ARM,control,3/19/2016,0,0, 
ARM,control,3/20/2016,0,0, 
ARM,control,3/21/2016,0,0, 
ARM,control,3/22/2016,0,0, 
ARM,control,3/23/2016,0.4330711,0, 
ARM,control,3/24/2016,0,0, 
ARM,control,3/25/2016,0,0, 
ARM,control,3/26/2016,0,0, 
ARM,control,3/27/2016,0,0, 
ARM,control,3/28/2016,0,0, 
ARM,control,3/29/2016,0,0, 
ARM,control,3/30/2016,0,0, 
ARM,control,3/31/2016,0,0, 
ARM,control,4/1/2016,0,0, 
ARM,control,4/2/2016,0,0, 
ARM,control,4/3/2016,0,0, 
ARM,control,4/4/2016,0,0, 
ARM,control,4/5/2016,0,0, 
ARM,control,4/6/2016,0,0, 
ARM,control,4/7/2016,0,0, 
ARM,control,4/8/2016,0,0, 
ARM,control,4/9/2016,0,0, 
ARM,control,4/10/2016,0,0, 
ARM,control,4/11/2016,0,0, 
ARM,control,4/19/2016,0,0, 
ARM,control,4/20/2016,1.3385834,0.000455264, 
ARM,control,4/21/2016,0,0.000268868, 
ARM,control,4/22/2016,0,0, 
ARM,control,4/23/2016,0,0, 
ARM,control,4/24/2016,0.2362206,0, 
ARM,control,4/25/2016,0,0, 
ARM,control,4/26/2016,0,0, 
ARM,control,4/27/2016,1.7322844,0.115356045,6.792932767
ARM,control,4/28/2016,0,0.019973521,1.176649987
ARM,control,4/29/2016,0,0, 
ARM,control,4/30/2016,1.2992133,0.120818884,7.117500182
ARM,control,5/1/2016,0,0.012295768,0.724349793
ARM,control,5/2/2016,0,0, 
ARM,control,5/3/2016,0,0, 
ARM,control,5/4/2016,0,0, 
ARM,control,5/5/2016,0,0, 
ARM,control,5/6/2016,0,0, 
ARM,control,5/7/2016,0,0, 
ARM,control,5/8/2016,0,0, 
ARM,control,5/9/2016,1.3779535,0.095828085,3.717623293
ARM,control,5/10/2016,0,0.067082047,2.602428927
ARM,control,5/11/2016,0.6299216,0.089724942,3.480853602
ARM,control,5/12/2016,0,0.007454819,0.289207591
ARM,control,5/13/2016,0,0, 
ARM,control,5/14/2016,0,0, 
ARM,control,5/15/2016,0,0, 
ARM,control,5/16/2016,0,0, 
ARM,control,5/17/2016,0,0, 
ARM,control,5/18/2016,0,0, 
ARM,control,5/19/2016,0,0, 
ARM,control,5/20/2016,0,0, 
ARM,control,5/21/2016,0,0, 
ARM,control,5/22/2016,0,0, 
ARM,control,5/23/2016,0,0, 
ARM,control,5/24/2016,0.1181103,0.001531425, 
ARM,control,5/25/2016,0.2362206,0.00246344, 
ARM,control,5/26/2016,2.4803163,0.340612552,44.53596314
ARM,control,5/27/2016,0.2362206,0.04091569,5.34983123
ARM,control,5/28/2016,0.0393701,0.037789639,4.941092028
ARM,control,5/29/2016,0,0.000886614,0.115927108
ARM,control,5/30/2016,0,0, 
ARM,control,5/31/2016,0.0393701,0.00069999, 
ARM,control,6/1/2016,0,0, 
ARM,control,6/2/2016,0,0, 
ARM,control,6/3/2016,0.1574804,0, 
ARM,control,6/4/2016,0,0.000260159, 
ARM,control,6/5/2016,0,0, 
ARM,control,6/6/2016,0,0, 
ARM,control,6/7/2016,0,0, 
ARM,control,6/8/2016,0,0, 
ARM,control,6/9/2016,0,0, 
ARM,control,6/10/2016,0,0, 
ARM,control,6/11/2016,0,0, 
ARM,control,6/12/2016,0,0, 
ARM,control,6/13/2016,0,0, 
ARM,control,6/14/2016,0,0, 
ARM,control,6/15/2016,0,0, 
ARM,control,6/16/2016,0,0, 
ARM,control,6/17/2016,0,0, 
ARM,control,6/18/2016,0,0, 
ARM,control,6/19/2016,0,0, 
ARM,control,6/20/2016,0.8267721,0, 
ARM,control,6/21/2016,0,0, 
ARM,control,6/22/2016,0,0, 
ARM,control,6/23/2016,0,0, 
ARM,control,6/24/2016,0,0, 
ARM,control,6/25/2016,0,0, 
ARM,control,6/26/2016,0.6299216,0, 
ARM,control,6/27/2016,0.0787402,0, 
ARM,control,6/28/2016,0,0, 
ARM,control,6/29/2016,0,0, 
ARM,control,6/30/2016,0,0, 
ARM,control,7/1/2016,0,0, 
ARM,control,7/2/2016,0.2755907,0, 
ARM,control,7/3/2016,0,0, 
ARM,control,7/4/2016,0,0, 
ARM,control,7/5/2016,0,0, 
ARM,control,7/6/2016,0,0, 
ARM,control,7/7/2016,0.8267721,0, 
ARM,control,7/8/2016,0,0, 
ARM,control,7/9/2016,0,0, 
ARM,control,7/10/2016,0,0, 
ARM,control,7/11/2016,0.9448824,0, 
ARM,control,7/12/2016,0.1968505,0.00012285, 
ARM,control,7/13/2016,0,0, 
ARM,control,7/14/2016,0,0, 
ARM,control,7/15/2016,0,0, 
ARM,control,7/16/2016,0,0, 
ARM,control,7/17/2016,0,0, 
ARM,control,7/18/2016,2.2047256,0.084209596,1.351120076
ARM,control,7/19/2016,0.3543309,0.001438294, 
ARM,control,7/20/2016,0,0.000705357, 
ARM,control,7/21/2016,0,0, 
ARM,control,7/22/2016,0,0, 
