SiteID,Treatment,date,rainday (in),flowday (in),TSS lbs/ac
ARM,control,4/5/2019,0,0, 
ARM,control,4/6/2019,0,0, 
ARM,control,4/7/2019,0,0, 
ARM,control,4/8/2019,0,0, 
ARM,control,4/9/2019,0,0, 
ARM,control,4/10/2019,0.1181103,6.61E-05, 
ARM,control,4/11/2019,0,0.000512773, 
ARM,control,4/12/2019,0,0, 
ARM,control,4/13/2019,0,0, 
ARM,control,4/14/2019,0,0, 
ARM,control,4/15/2019,0,0, 
ARM,control,4/16/2019,0,0, 
ARM,control,4/17/2019,0,0, 
ARM,control,4/18/2019,0,0, 
ARM,control,4/19/2019,0,0, 
ARM,control,4/20/2019,0,0, 
ARM,control,4/21/2019,0,0, 
ARM,control,4/22/2019,0,0, 
ARM,control,4/23/2019,0,0, 
ARM,control,4/24/2019,0,0, 
ARM,control,4/25/2019,0,0, 
ARM,control,4/26/2019,0,0, 
ARM,control,4/27/2019,0.8267721,0, 
ARM,control,4/28/2019,0,0, 
ARM,control,4/29/2019,0,0, 
ARM,control,4/30/2019,0,0, 
ARM,control,5/1/2019,0,0, 
ARM,control,5/2/2019,0,0, 
ARM,control,5/3/2019,0,0, 
ARM,control,5/4/2019,0.1968505,0, 
ARM,control,5/5/2019,0.0393701,0, 
ARM,control,5/6/2019,0.1574804,0, 
ARM,control,5/7/2019,0,0, 
ARM,control,5/8/2019,1.0629927,0, 
ARM,control,5/9/2019,0,0, 
ARM,control,5/10/2019,0,0, 
ARM,control,5/11/2019,0,0, 
ARM,control,5/12/2019,0.0393701,0, 
ARM,control,5/13/2019,0,0, 
ARM,control,5/14/2019,0,0, 
ARM,control,5/15/2019,0,0, 
ARM,control,5/16/2019,0,0, 
ARM,control,5/17/2019,0.2362206,0, 
ARM,control,5/18/2019,0.1181103,0, 
ARM,control,5/19/2019,0,0, 
ARM,control,5/20/2019,0,0, 
ARM,control,5/21/2019,0.1181103,8.68E-05, 
ARM,control,5/22/2019,0.0787402,0, 
ARM,control,5/23/2019,0.3149608,2.07E-05,0.003132696
ARM,control,5/24/2019,1.7322844,0.012989379,1.931845337
ARM,control,5/25/2019,0,0, 
ARM,control,5/26/2019,0.3149608,0.000127644, 
ARM,control,5/27/2019,0.3149608,8.27E-05, 
ARM,control,5/28/2019,0.9448824,0.050109683,7.499672876
ARM,control,5/29/2019,0,0, 
ARM,control,5/30/2019,0,0, 
ARM,control,5/31/2019,0,0, 
ARM,control,6/1/2019,0.0393701,0, 
ARM,control,6/2/2019,0,0, 
ARM,control,6/3/2019,0.393701,0.000967693, 
ARM,control,6/4/2019,0,0.00036813, 
ARM,control,6/5/2019,0,0, 
ARM,control,6/6/2019,0,0, 
ARM,control,6/7/2019,0,0, 
ARM,control,6/8/2019,0,0, 
ARM,control,6/9/2019,0,0, 
ARM,control,6/10/2019,0,0, 
