OBJECTID_1,OBJECTID,PadID,nnes_9m,nnes_15m,nnes_21m,nnes_27m,nnes_33m,nnes_39m,nnes_45m,nnes_51m,nnes_57m,nnes_63m,nnes_69m,nnes_75m,nnes_81m,nnes_87m,nnes_93m,nnes_99m,nnes_105m,nnes_111m,nnes_117m,nnes_123m,nnes_130m,nnes_150m,nnes_170m,nnes_190m,nnes_210m,nnes_230m,nnes_250m,nnes_270m,nnes_290m,nnes_310m,nnes_330m,nnes_350m,nnes_370m,nnes_390m,nnes_410m,nnes_430m,nnes_450m,nnes_470m,nnes_530m,nnes_570m,nnes_610m,nnes_650m,nnes_690m,nnes_730m,nnes_770m,nnes_810m,nnes_850m,nnes_890m,nnes_930m,nnes_970m,nnes_1010m,nnes_1110m,nnes_1290m,nnes_1470m,nnes_1650m,nnes_1830m,nnes_2010m,nnes_2190m,nnes_2370m,nnes_2550m,nnes_2730m,nnes_2910m,nnes_3090m,nnes_3270m,nnes_3450m,nnes_3630m,nnes_3810m,nnes_3990m,nnes_4170m,nnes_4350m,nnes_4530m,nnes_4710m,nnes_4890m,nnes_5070m
567,567,EIA16T,0.942303777,0.951928139,0.956073701,0.956120551,0.956082761,0.954319775,0.954928696,0.957444966,0.960365355,0.963961542,0.967565596,0.971038401,0.974652231,0.978010118,0.9810853,0.984024286,0.98681885,0.989451647,0.991928518,0.994318187,0.993171334,0.999875665,0.994437218,0.968470991,0.914986312,0.833150625,0.739141166,0.657942355,0.596503139,0.558209121,0.543122709,0.536658466,0.535248339,0.548089266,0.560752034,0.579196095,0.606629968,0.641335547,0.745153964,0.80022788,0.843333066,0.874214232,0.893671513,0.909457624,0.924648881,0.93945235,0.950766265,0.958492875,0.963996112,0.968427896,0.972128868,0.972846925,0.964820087,0.933078408,0.868355572,0.775716007,0.681866169,0.596841812,0.548837721,0.516344547,0.515401423,0.530377448,0.536994994,0.557405233,0.580753982,0.608432293,0.631666183,0.660211086,0.689969897,0.718728065,0.745666206,0.76497972,0.781377137,0.803451538
568,568,EIA17T,0.835282266,0.869018614,0.885002494,0.891672492,0.898789644,0.906074584,0.912558794,0.918688178,0.923784196,0.928955197,0.934228361,0.939919591,0.945654452,0.951247931,0.956750393,0.962197304,0.967739761,0.973333478,0.978767157,0.983922184,0.991114318,0.999803662,0.992818058,0.960846722,0.904366076,0.833502412,0.761245489,0.696360767,0.644760072,0.609492362,0.587853134,0.577782273,0.579370499,0.582192123,0.58796525,0.604045868,0.62062794,0.641122282,0.740269423,0.809428394,0.862371683,0.897211432,0.921523213,0.937336087,0.948616564,0.958842337,0.968517959,0.976014376,0.981017709,0.984738946,0.987547636,0.989085972,0.983951509,0.959854126,0.907406628,0.819472015,0.713365853,0.622294188,0.567752302,0.530625582,0.512778401,0.525845468,0.531522095,0.546952009,0.564810336,0.587864757,0.611952186,0.642200649,0.671548486,0.701869965,0.72964108,0.752230465,0.771793306,0.796247661
569,569,EIA18T,-0.255363643,-0.235998347,-0.286073565,-0.297153831,-0.299886554,-0.281891644,-0.249591306,-0.209097758,-0.15958257,-0.104694679,-0.04527526,0.014702088,0.071764104,0.124846295,0.171447724,0.21122469,0.246269718,0.276601881,0.303948611,0.32845512,0.389527202,0.463086575,0.519512534,0.564600348,0.597028971,0.616811275,0.631005943,0.63840425,0.641281068,0.641086638,0.641224086,0.643250644,0.647779047,0.656374514,0.670552194,0.681784868,0.695208609,0.716683507,0.789026499,0.846609831,0.891337454,0.924881041,0.947754145,0.963338256,0.973340631,0.97941035,0.984258175,0.98913008,0.993154109,0.995584369,0.996892512,0.997627556,0.994611561,0.978466809,0.939341128,0.86127156,0.747339725,0.651899874,0.58776474,0.547000408,0.515352488,0.518915832,0.527572334,0.534596384,0.547676146,0.564470232,0.591185451,0.622005761,0.652315676,0.683292687,0.711753607,0.738214016,0.762542605,0.789328754
570,570,EIA19T,-0.391547829,-0.388226658,-0.410113215,-0.428376049,-0.436595291,-0.435640305,-0.428905666,-0.421342701,-0.416484863,-0.412496656,-0.406580478,-0.399154514,-0.38996464,-0.380126119,-0.369800121,-0.357747972,-0.341455072,-0.321813166,-0.30059275,-0.277617693,-0.245350361,-0.137627646,-0.010329548,0.124719277,0.265307456,0.400888741,0.515773177,0.606207609,0.675188124,0.726215899,0.763909161,0.792915046,0.815668643,0.83464694,0.852198541,0.870119929,0.886849046,0.901419938,0.931435287,0.945381522,0.962106168,0.976980686,0.987832785,0.994153082,0.997394502,0.999042869,0.999804378,0.999994457,0.999960005,0.999809027,0.999666154,0.999714911,0.997087479,0.984021902,0.951512516,0.880725861,0.770683765,0.679660857,0.615035415,0.570856452,0.539670587,0.538039505,0.54525578,0.548997462,0.56040889,0.572388351,0.599541068,0.628633678,0.656997859,0.684174955,0.711192667,0.737164199,0.762881875,0.790504813
571,571,EIA20T,0.185391173,0.090159521,0.037607465,-0.02784911,-0.044493973,-0.011878818,0.020239059,0.035881475,0.036634978,0.033723973,0.034228586,0.040965624,0.052552599,0.064086385,0.074563004,0.084083691,0.093794502,0.103082299,0.112030499,0.122093394,0.259695977,0.299072832,0.357021689,0.429664046,0.51719141,0.608569682,0.697249532,0.777686775,0.843904614,0.894536078,0.930702031,0.954822481,0.970638871,0.981101513,0.98748982,0.991558611,0.99385041,0.995364428,0.997532487,0.998427451,0.99928093,0.999947727,0.999826849,0.998833299,0.99717325,0.995479465,0.994327128,0.993649125,0.993633151,0.994116783,0.994922757,0.997549951,0.999994874,0.996149719,0.979699254,0.929513752,0.831283689,0.737876236,0.668344438,0.615588129,0.575702488,0.557134032,0.557518423,0.55478543,0.557953715,0.560845613,0.583404362,0.612497091,0.643454492,0.666260779,0.690169096,0.721900344,0.754500806,0.785822749
572,572,GUT21T,-0.400852889,-0.44042629,-0.458974332,-0.46914652,-0.467466086,-0.457712889,-0.438987941,-0.413083553,-0.381303519,-0.345969468,-0.310389459,-0.277460456,-0.249260947,-0.226574168,-0.208886087,-0.195263818,-0.184432879,-0.177479312,-0.174851969,-0.175771385,-0.165403545,-0.192962408,-0.244564667,-0.308332384,-0.370518386,-0.427860439,-0.487410009,-0.563384652,-0.647035718,-0.72762531,-0.798879445,-0.858355165,-0.907022834,-0.945160449,-0.973729432,-0.992337584,-0.999808431,-0.997062624,-0.955532551,-0.9255476,-0.904438436,-0.890527546,-0.881434441,-0.880405366,-0.88410145,-0.887798369,-0.88922441,-0.88856566,-0.88779968,-0.88248378,-0.875677228,-0.854791224,-0.795293629,-0.733921111,-0.687927544,-0.665523767,-0.644382179,-0.607970417,-0.563300252,-0.530384958,-0.510934293,-0.497108519,-0.482848823,-0.470441252,-0.459716052,-0.444570452,-0.427965909,-0.406053811,-0.380977571,-0.356126755,-0.332615376,-0.309056669,-0.285427392,-0.264190286
573,573,GUT23T,-0.219808653,-0.255655587,-0.299705923,-0.335077614,-0.362210453,-0.385329783,-0.403531462,-0.414815277,-0.420941472,-0.424142808,-0.425666541,-0.426432908,-0.426962286,-0.426476479,-0.424670875,-0.42214635,-0.419091284,-0.416320026,-0.414157391,-0.412573904,-0.432817847,-0.412059128,-0.403036863,-0.413773686,-0.443567753,-0.494983613,-0.568187296,-0.654352367,-0.740084708,-0.815707386,-0.878532231,-0.92881006,-0.962882519,-0.983584881,-0.994892538,-0.999475181,-0.999600947,-0.996349454,-0.967911899,-0.936501324,-0.902443707,-0.87478292,-0.86066407,-0.857242286,-0.856530905,-0.857384264,-0.860437214,-0.864727974,-0.867915034,-0.869072676,-0.864118695,-0.851206541,-0.800904691,-0.743378699,-0.693478763,-0.667503953,-0.642635942,-0.610318124,-0.565296173,-0.529916048,-0.509848475,-0.495778739,-0.483109683,-0.472357959,-0.462459326,-0.449237704,-0.431917846,-0.409670711,-0.385318846,-0.360536307,-0.336893409,-0.31300959,-0.288903356,-0.266889542
574,574,GUT26T,-0.25452292,-0.226843551,-0.220789626,-0.220182702,-0.216890201,-0.218049318,-0.23471269,-0.264054656,-0.300911486,-0.34540242,-0.394198537,-0.444544911,-0.493638664,-0.540546119,-0.583244562,-0.622519851,-0.65850091,-0.690853059,-0.720168352,-0.746685147,-0.806436241,-0.872095466,-0.923719168,-0.960779309,-0.984505117,-0.996755779,-0.999998093,-0.996787429,-0.986723244,-0.97249037,-0.964181602,-0.963305116,-0.967466712,-0.974053979,-0.981950402,-0.990129054,-0.996804535,-0.999954939,-0.976755083,-0.950888515,-0.931323588,-0.915025234,-0.902133584,-0.897917271,-0.899524212,-0.903618097,-0.903700054,-0.89970547,-0.893063128,-0.884954631,-0.875831604,-0.849862576,-0.788018107,-0.723998487,-0.669684708,-0.637001574,-0.617203593,-0.585963428,-0.539208114,-0.505932927,-0.487896711,-0.475998551,-0.464220434,-0.454794079,-0.449228942,-0.441080034,-0.427312821,-0.406522244,-0.381714642,-0.356496841,-0.331555009,-0.306209594,-0.280669749,-0.258397043
575,575,GUT27T,-0.894391119,-0.807268739,-0.680285692,-0.603455424,-0.562717736,-0.535923123,-0.521513462,-0.505640924,-0.494026154,-0.485373735,-0.479327351,-0.477578491,-0.480135828,-0.487332582,-0.498518944,-0.514132142,-0.532795012,-0.552719533,-0.573178589,-0.593801796,-0.611174464,-0.67477423,-0.735971212,-0.795589328,-0.851560533,-0.900067627,-0.941378176,-0.976134241,-0.995665371,-0.999648571,-0.991309643,-0.979116976,-0.972641528,-0.974140704,-0.981603384,-0.991135061,-0.998238921,-0.999677837,-0.976258755,-0.959795952,-0.944681883,-0.930156171,-0.922394753,-0.921540856,-0.924355507,-0.92329663,-0.918627799,-0.911440551,-0.902419627,-0.892130792,-0.879521728,-0.844637096,-0.771674752,-0.705322027,-0.654315174,-0.620433033,-0.605688095,-0.570207119,-0.524270296,-0.49737072,-0.481361896,-0.470063955,-0.457527667,-0.446592659,-0.441075087,-0.432640553,-0.420235008,-0.400738597,-0.375741154,-0.350282788,-0.325081021,-0.299559981,-0.274125844,-0.252669722
576,576,GUT30T,3.74652E-17,0.012674494,-0.177304462,-0.319894999,-0.416353375,-0.5033499,-0.562149346,-0.592013538,-0.6068483,-0.613304436,-0.615638375,-0.620204866,-0.627272069,-0.636356354,-0.645889461,-0.655218065,-0.664159954,-0.673075974,-0.682081223,-0.691330612,-0.727572262,-0.785579324,-0.85063386,-0.907885432,-0.950910807,-0.980473101,-0.99674648,-0.999349713,-0.990093172,-0.973691761,-0.954923332,-0.939991951,-0.936967313,-0.950167418,-0.971089303,-0.988649309,-0.998246431,-0.999866426,-0.988743901,-0.978582978,-0.968564987,-0.961860597,-0.957993865,-0.954647005,-0.949160099,-0.940465868,-0.929218471,-0.916193008,-0.902262926,-0.887535334,-0.871993899,-0.829009533,-0.743121326,-0.673758984,-0.634557009,-0.611199081,-0.591308773,-0.552699149,-0.518160403,-0.495453835,-0.481712282,-0.469158709,-0.454737037,-0.442562431,-0.432795048,-0.423511803,-0.410174012,-0.390931219,-0.365986884,-0.340411365,-0.31539008,-0.290681571,-0.267482072,-0.247633114
