OBJECTID_1,OBJECTID,PadID,wnes_9m,wnes_15m,wnes_21m,wnes_27m,wnes_33m,wnes_39m,wnes_45m,wnes_51m,wnes_57m,wnes_63m,wnes_69m,wnes_75m,wnes_81m,wnes_87m,wnes_93m,wnes_99m,wnes_105m,wnes_111m,wnes_117m,wnes_123m,wnes_130m,wnes_150m,wnes_170m,wnes_190m,wnes_210m,wnes_230m,wnes_250m,wnes_270m,wnes_290m,wnes_310m,wnes_330m,wnes_350m,wnes_370m,wnes_390m,wnes_410m,wnes_430m,wnes_450m,wnes_470m,wnes_530m,wnes_570m,wnes_610m,wnes_650m,wnes_690m,wnes_730m,wnes_770m,wnes_810m,wnes_850m,wnes_890m,wnes_930m,wnes_970m,wnes_1010m,wnes_1110m,wnes_1290m,wnes_1470m,wnes_1650m,wnes_1830m,wnes_2010m,wnes_2190m,wnes_2370m,wnes_2550m,wnes_2730m,wnes_2910m,wnes_3090m,wnes_3270m,wnes_3450m,wnes_3630m,wnes_3810m,wnes_3990m,wnes_4170m,wnes_4350m,wnes_4530m,wnes_4710m,wnes_4890m,wnes_5070m
1,1,ARM04Tv,-0.493521392,-0.493074059,-0.489254653,-0.493361294,-0.504579067,-0.518670261,-0.535144925,-0.553246021,-0.572511792,-0.59221518,-0.612132072,-0.63210094,-0.651696682,-0.670559406,-0.688304007,-0.704519153,-0.719161808,-0.732281804,-0.7439394,-0.754119933,-0.773863614,-0.787061632,-0.793720663,-0.804412484,-0.825865746,-0.855311632,-0.884492695,-0.910761952,-0.934546947,-0.952911854,-0.966872871,-0.977622211,-0.984881938,-0.989503205,-0.992387354,-0.994305015,-0.995818794,-0.997105956,-0.999586165,-0.999995828,-0.999401808,-0.997584462,-0.994325101,-0.989576459,-0.983940601,-0.979076564,-0.976038098,-0.974888742,-0.975257754,-0.976384461,-0.977628171,-0.978817999,-0.97223109,-0.9818362,-0.988967657,-0.989366651,-0.980750561,-0.967479229,-0.960476816,-0.963209569,-0.971835613,-0.98666054,-0.997879803,-0.999918759,-0.997869313,-0.990983248,-0.971995711,-0.932086647,-0.876280546,-0.817365944,-0.782798171,-0.782227516,-0.809792161,-0.856098413
2,2,ARM05Tv,-0.820400834,-0.820453167,-0.829707503,-0.848010242,-0.867570817,-0.886430383,-0.901723206,-0.912870765,-0.920980871,-0.926984429,-0.93198055,-0.936475217,-0.94054997,-0.94433105,-0.947784722,-0.950855732,-0.953579009,-0.955909491,-0.957831144,-0.959330857,-0.896093369,-0.91770488,-0.944663763,-0.965269506,-0.979331672,-0.988498688,-0.994248509,-0.997409403,-0.999107957,-0.999846935,-0.999998629,-0.999871314,-0.999720335,-0.99956584,-0.999516726,-0.999484301,-0.999434531,-0.999248743,-0.998807609,-0.998272419,-0.997534096,-0.996557772,-0.995330691,-0.99395287,-0.992382705,-0.990865588,-0.989843905,-0.988855541,-0.987845063,-0.987097144,-0.986654401,-0.990127325,-0.995231748,-0.997979522,-0.998148203,-0.994656622,-0.983540714,-0.971607804,-0.962385714,-0.959495962,-0.969934285,-0.987471044,-0.997901142,-0.999877274,-0.996386588,-0.986522675,-0.96173948,-0.918567002,-0.859882295,-0.80017072,-0.761211336,-0.755807102,-0.787999153,-0.842255712
3,3,ARM07Tv,-0.73341006,-0.746517539,-0.74906826,-0.750158072,-0.754957318,-0.764686882,-0.777907848,-0.792040884,-0.806446791,-0.81888485,-0.828750372,-0.83689183,-0.843625665,-0.848746002,-0.85239321,-0.854840636,-0.856399417,-0.857192755,-0.857236564,-0.856329203,-0.801760316,-0.799213648,-0.79379493,-0.792463958,-0.802912533,-0.822287679,-0.845457852,-0.875277996,-0.902882695,-0.924260616,-0.941406965,-0.953825176,-0.963132083,-0.969277799,-0.97318399,-0.97564137,-0.97730124,-0.978750169,-0.983639896,-0.98670882,-0.989643276,-0.992794573,-0.995722175,-0.99797678,-0.999182522,-0.999585927,-0.999678791,-0.999716043,-0.999802709,-0.999933243,-0.999999344,-0.998691022,-0.991805255,-0.987650275,-0.992781281,-0.999863565,-0.992974281,-0.978668988,-0.967688799,-0.957542181,-0.963666439,-0.983697057,-0.995758414,-0.999360979,-0.998901904,-0.98831588,-0.967531562,-0.93616271,-0.898445129,-0.855495393,-0.818527699,-0.808472931,-0.825138569,-0.871488869
4,4,ARM09Tv,-0.305144548,-0.330087841,-0.362028122,-0.402683467,-0.450054914,-0.502592385,-0.556819618,-0.60943538,-0.659431577,-0.70637387,-0.749641538,-0.788518846,-0.822782576,-0.852355719,-0.877415001,-0.897754848,-0.916567624,-0.938057899,-0.953626275,-0.96402514,-0.977172911,-0.987528086,-0.987562954,-0.984842062,-0.981594026,-0.977047145,-0.96927917,-0.957810521,-0.944043159,-0.930311143,-0.919970036,-0.915011942,-0.915087461,-0.91813767,-0.923159659,-0.929620683,-0.936883807,-0.944618881,-0.967554927,-0.979752302,-0.987950087,-0.992366493,-0.99440974,-0.995544612,-0.996573269,-0.997865677,-0.999205828,-0.999961495,-0.999706626,-0.998337746,-0.995952725,-0.981991768,-0.966625571,-0.957800984,-0.968256593,-0.991383016,-0.999984562,-0.989006996,-0.968214869,-0.960658848,-0.962714791,-0.971987605,-0.985676587,-0.995972633,-0.999998331,-0.995556653,-0.983749986,-0.969504595,-0.950341761,-0.927638352,-0.905548573,-0.888497651,-0.890650988,-0.910975695
5,5,ARM06Tv,-0.32521224,-0.32491982,-0.331104666,-0.340928376,-0.354377449,-0.371019363,-0.390013844,-0.412644386,-0.435604304,-0.454853714,-0.470492661,-0.482839853,-0.492539644,-0.501098335,-0.510247111,-0.521005988,-0.533202589,-0.546689332,-0.561260581,-0.576657951,-0.623774529,-0.689636648,-0.759478986,-0.824077904,-0.875730813,-0.913752317,-0.939591348,-0.955905259,-0.965990186,-0.972648978,-0.977341473,-0.980572522,-0.984146416,-0.986772358,-0.98906219,-0.990714133,-0.991993248,-0.992684603,-0.993108213,-0.992786348,-0.99296087,-0.9940418,-0.995631933,-0.997152567,-0.998045325,-0.998455465,-0.998614371,-0.998449743,-0.997917652,-0.997146189,-0.996629059,-0.999709189,-0.998025537,-0.995269716,-0.997767389,-0.999700904,-0.989888906,-0.977064073,-0.965950489,-0.956169784,-0.964205086,-0.984401405,-0.996275723,-0.999602675,-0.998791754,-0.990055859,-0.969731271,-0.935637593,-0.892343163,-0.845182717,-0.809270322,-0.801254869,-0.818815768,-0.864083648
6,6,ARM18Tv,-0.987242103,-0.989076674,-0.992107689,-0.995417178,-0.99830091,-0.999885082,-0.999484181,-0.996516466,-0.990358472,-0.980580807,-0.967211843,-0.950913787,-0.932710886,-0.913656473,-0.894861937,-0.877286732,-0.861659527,-0.848496497,-0.838058829,-0.830307662,-0.836862624,-0.832875133,-0.832367957,-0.833614409,-0.835256934,-0.839269102,-0.84216404,-0.846219778,-0.852328658,-0.861871421,-0.874642313,-0.888543308,-0.902039707,-0.914673805,-0.926323175,-0.936299086,-0.94498688,-0.952813506,-0.973873019,-0.986912787,-0.996567905,-0.999986351,-0.997908831,-0.992435575,-0.986326337,-0.981931269,-0.979951084,-0.979733825,-0.980265617,-0.981115699,-0.981131434,-0.977177858,-0.966875732,-0.976857901,-0.986053348,-0.987182081,-0.983126521,-0.972486794,-0.963712633,-0.966341496,-0.972898781,-0.984557569,-0.996674061,-0.999942303,-0.999550223,-0.996396661,-0.984543383,-0.955128729,-0.910140276,-0.862483561,-0.836278319,-0.834676802,-0.848610818,-0.879361391
7,7,ARM17Tv,-0.437972069,-0.43178764,-0.428002477,-0.430282354,-0.436947703,-0.446104497,-0.461224347,-0.482414275,-0.508352458,-0.537109017,-0.567454875,-0.598892272,-0.629869342,-0.658442378,-0.683975816,-0.706593096,-0.726731598,-0.744788945,-0.761056244,-0.775671542,-0.785934448,-0.818846285,-0.84580195,-0.871647,-0.894891858,-0.915361643,-0.933852971,-0.950110734,-0.963371396,-0.972146869,-0.97786814,-0.981889725,-0.984652638,-0.986765027,-0.988547921,-0.989949405,-0.991041124,-0.991968989,-0.995286763,-0.997804403,-0.999711037,-0.999678016,-0.997353077,-0.99398005,-0.990975499,-0.988672972,-0.986877799,-0.985636294,-0.985058308,-0.984852195,-0.984644651,-0.980745614,-0.975975335,-0.985835254,-0.990938187,-0.9901582,-0.98306179,-0.970927954,-0.961188614,-0.962779105,-0.970597446,-0.984970808,-0.997058213,-0.99999553,-0.999142349,-0.994734704,-0.979855478,-0.945369005,-0.895242929,-0.841883183,-0.812684953,-0.811296582,-0.830503166,-0.868081272
8,8,ARM16Tv,-0.989947855,-0.999992728,-0.996028125,-0.995852232,-0.996553838,-0.996380091,-0.995577216,-0.994357109,-0.99293685,-0.991615415,-0.990359843,-0.989450753,-0.989188313,-0.989832997,-0.99138689,-0.993555605,-0.995859623,-0.997820139,-0.999149919,-0.99982971,-0.993472636,-0.992171943,-0.994497657,-0.997132301,-0.99894768,-0.999768436,-0.999981761,-0.999998868,-0.999984264,-0.999979019,-0.999946833,-0.999923289,-0.999893486,-0.999884844,-0.999897301,-0.9999246,-0.999952376,-0.999985993,-0.999995112,-0.999912381,-0.999467671,-0.998384893,-0.997061849,-0.996048808,-0.99527669,-0.994683862,-0.993811965,-0.992693841,-0.991670847,-0.990601301,-0.989366293,-0.990183949,-0.99595046,-0.999032199,-0.999043822,-0.995631754,-0.984901428,-0.97350651,-0.961907029,-0.957908869,-0.967419624,-0.985484779,-0.997100651,-0.999989748,-0.998424172,-0.991920412,-0.972263575,-0.934684038,-0.88223809,-0.827509224,-0.79379636,-0.789057672,-0.812473476,-0.856358528
9,9,ARM15Tv,-0.560525894,-0.576942503,-0.594540358,-0.614099205,-0.633239746,-0.649977803,-0.661784589,-0.669193566,-0.673644245,-0.67608434,-0.677131891,-0.677259982,-0.676900625,-0.67685169,-0.677871048,-0.679922521,-0.682662547,-0.686076939,-0.690330744,-0.695536554,-0.690491021,-0.724127591,-0.77213943,-0.825842917,-0.873987913,-0.91095078,-0.93631351,-0.952711642,-0.963496983,-0.972027183,-0.977512062,-0.981931448,-0.985833108,-0.988726437,-0.990684927,-0.992074788,-0.993244052,-0.994226873,-0.99584502,-0.996200025,-0.9963907,-0.996595144,-0.997052073,-0.997853696,-0.998449981,-0.998683393,-0.998626351,-0.998319328,-0.997731924,-0.996897697,-0.99624455,-0.995674253,-0.999989927,-0.998814225,-0.999707937,-0.998356819,-0.988563418,-0.977225304,-0.963493824,-0.955263793,-0.963792562,-0.982795477,-0.995524764,-0.999441206,-0.999618828,-0.995105326,-0.979316175,-0.947773457,-0.904216588,-0.858125508,-0.8284356,-0.821494699,-0.833765805,-0.86962235
10,10,ARM12Tv,-0.916827083,-0.918581605,-0.924898922,-0.932498097,-0.941277683,-0.950352788,-0.95897001,-0.966644585,-0.973425031,-0.979415059,-0.984811544,-0.989625037,-0.993730724,-0.996931076,-0.999052465,-0.999968112,-0.999621391,-0.998063326,-0.995425105,-0.991876483,-0.987007499,-0.967855453,-0.952888429,-0.953728735,-0.952784479,-0.947630167,-0.941439211,-0.935640454,-0.931062341,-0.927167177,-0.924029589,-0.922092795,-0.922325253,-0.925282359,-0.930440307,-0.93705219,-0.944422781,-0.952238023,-0.973518074,-0.983877897,-0.99069339,-0.994916618,-0.997224152,-0.998300254,-0.998770416,-0.99907428,-0.999459505,-0.999847829,-0.999997556,-0.999725878,-0.998921871,-0.995705426,-0.984666467,-0.97290206,-0.983338833,-0.998531997,-0.997529209,-0.983912706,-0.966892123,-0.956152976,-0.959772289,-0.974679172,-0.988870561,-0.996433139,-0.999872625,-0.997191668,-0.986532271,-0.968033731,-0.942150831,-0.915128648,-0.891090751,-0.875906527,-0.87473321,-0.897536278
11,11,ARM21Tv,-0.558452964,-0.567482948,-0.577561617,-0.614419758,-0.741155624,-0.826020718,-0.852483094,-0.862826526,-0.87700659,-0.899387836,-0.919648767,-0.93460232,-0.946296811,-0.955572069,-0.962913632,-0.968801439,-0.973561049,-0.977562368,-0.981082082,-0.984288752,-0.984305561,-0.990641713,-0.994829774,-0.996979117,-0.997502863,-0.996959984,-0.994774759,-0.990175426,-0.983044207,-0.973837912,-0.963824034,-0.954706371,-0.947324574,-0.942811489,-0.940989435,-0.941613317,-0.944505811,-0.949076712,-0.966104984,-0.978141129,-0.987601757,-0.993898034,-0.997207582,-0.998873234,-0.99972862,-0.99999994,-0.999718606,-0.998933554,-0.997848988,-0.996697426,-0.995531499,-0.996372104,-0.999986887,-0.999490023,-0.999871552,-0.99626565,-0.991003335,-0.98293072,-0.968947887,-0.960879624,-0.96606034,-0.977796316,-0.989803672,-0.997596264,-0.999507785,-0.999975026,-0.995894313,-0.979333758,-0.948761463,-0.919534087,-0.901603222,-0.889549553,-0.886851788,-0.896042168
12,12,ARM24Tv,-0.826939762,-0.783885479,-0.713306725,-0.658033133,-0.639124274,-0.644814849,-0.659950495,-0.680154502,-0.707494795,-0.762244284,-0.814293802,-0.844012439,-0.865633607,-0.88853693,-0.914171636,-0.93634212,-0.953693211,-0.967587471,-0.978650808,-0.987212181,-0.996446311,-0.999450862,-0.993445277,-0.988034785,-0.987901628,-0.99202919,-0.996735215,-0.999528706,-0.999820709,-0.997936904,-0.994554818,-0.990448534,-0.986424327,-0.983224511,-0.981098652,-0.980381608,-0.980142713,-0.980843246,-0.986694276,-0.991150618,-0.994804204,-0.997098327,-0.998344004,-0.999150097,-0.999720991,-0.999982655,-0.999913633,-0.99943459,-0.998590946,-0.997432411,-0.996057868,-0.99431318,-0.999598742,-0.999744356,-0.999898911,-0.996164262,-0.99062717,-0.981564581,-0.96634233,-0.958762348,-0.965591311,-0.978580773,-0.991401196,-0.998347819,-0.999803185,-0.999706566,-0.993483901,-0.973617911,-0.938793778,-0.905394554,-0.886218488,-0.875556469,-0.875771403,-0.889782965
13,13,ARM27Tv,-0.948679805,-0.925589561,-0.893191159,-0.863125741,-0.839911461,-0.832089722,-0.836983442,-0.839209437,-0.84530884,-0.852244437,-0.844686866,-0.82682687,-0.815191984,-0.818428516,-0.826857984,-0.832905889,-0.838833511,-0.844499886,-0.849689066,-0.854865909,-0.866640806,-0.889775872,-0.916730165,-0.940478206,-0.958155453,-0.970513403,-0.979415059,-0.986225486,-0.991392851,-0.995090723,-0.997560143,-0.999042213,-0.999768436,-0.999999881,-0.999893367,-0.999705434,-0.999543667,-0.999424875,-0.999254823,-0.999200046,-0.99912256,-0.998959482,-0.998872221,-0.998980641,-0.999321759,-0.999717176,-0.999975145,-0.999935925,-0.999489963,-0.998659968,-0.997801542,-0.997702956,-0.999462605,-0.996189356,-0.999301851,-0.998334587,-0.991977692,-0.982302368,-0.966808915,-0.956349432,-0.963041306,-0.977448463,-0.990409851,-0.997522593,-0.999698043,-0.999654114,-0.993137658,-0.973769903,-0.941311955,-0.910119057,-0.890327811,-0.878476501,-0.87627238,-0.890342891
14,14,ARM29Tv,-0.603123546,-0.586354256,-0.580891013,-0.572998047,-0.561469674,-0.592984736,-0.634147763,-0.623630285,-0.585404038,-0.56986028,-0.593069017,-0.624669552,-0.646288991,-0.664479256,-0.681558609,-0.698680282,-0.716294765,-0.734635293,-0.754172087,-0.774664938,-0.821261883,-0.876194596,-0.918883801,-0.946398973,-0.962362766,-0.971884906,-0.97845149,-0.98374486,-0.988112211,-0.991652906,-0.994333088,-0.996325433,-0.997991383,-0.998952389,-0.999420226,-0.999679625,-0.999836981,-0.99993068,-0.999983609,-0.999794602,-0.999382854,-0.998950481,-0.998597503,-0.998443067,-0.998740911,-0.999297142,-0.999792218,-1,-0.999778748,-0.999212623,-0.998703182,-0.998878479,-0.998622596,-0.995658696,-0.999423206,-0.998340428,-0.99216789,-0.983527899,-0.969145417,-0.958325684,-0.963348269,-0.976528823,-0.988683879,-0.996604383,-0.9993276,-0.99996382,-0.995651066,-0.97942555,-0.950912952,-0.923578382,-0.905177951,-0.89196682,-0.887014687,-0.8962093
15,15,ARM25Cv,-0.175005138,-0.106510915,-0.073461384,-0.060627017,-0.044884425,-0.027910585,-0.01004147,-0.002100391,-0.010085455,-0.035855994,-0.078141622,-0.133575231,-0.197716087,-0.265921056,-0.333481103,-0.39696756,-0.453291148,-0.497386068,-0.529144943,-0.55782944,-0.751936555,-0.845126867,-0.882805288,-0.901694775,-0.903437376,-0.893529892,-0.878021717,-0.861469984,-0.847877204,-0.833077371,-0.817752004,-0.80523324,-0.796887338,-0.792553782,-0.790275455,-0.788328171,-0.786216199,-0.783649325,-0.776482999,-0.772608936,-0.765559494,-0.756172001,-0.745806277,-0.736127496,-0.725762784,-0.711894512,-0.693713188,-0.670043707,-0.641082227,-0.608957767,-0.57278955,-0.426363498,-0.204679385,-0.238013923,-0.351387829,-0.428773731,-0.489790618,-0.558315873,-0.616490424,-0.661435425,-0.693149567,-0.71290189,-0.733057916,-0.762716949,-0.794778287,-0.81592679,-0.828240216,-0.844145775,-0.862558007,-0.873483121,-0.875419557,-0.877173781,-0.878336012,-0.877707303
16,16,ARM23Cv,-0.020416912,0.039983653,0.108319558,0.151592851,0.176636487,0.184771985,0.175516888,0.148314655,0.106160328,0.050585918,-0.013360981,-0.081986256,-0.151086241,-0.21633324,-0.273629129,-0.322965324,-0.377087742,-0.43607831,-0.494160563,-0.552021027,-0.776813567,-0.850403249,-0.895814359,-0.914173782,-0.912631154,-0.90103215,-0.886315823,-0.875031173,-0.862089694,-0.845963955,-0.828153729,-0.813142478,-0.802974403,-0.795896053,-0.790674269,-0.786800802,-0.783460259,-0.78074652,-0.777978539,-0.776913404,-0.773945451,-0.768040538,-0.759742439,-0.749791741,-0.738889337,-0.726007283,-0.711367726,-0.692177296,-0.668439746,-0.642332196,-0.614129663,-0.591579139,-0.375271887,-0.337557763,-0.40050447,-0.436653882,-0.476854891,-0.532352746,-0.597741663,-0.649148822,-0.681803346,-0.700214326,-0.723449171,-0.754153907,-0.782998085,-0.804089427,-0.816184878,-0.832166672,-0.853178561,-0.86578542,-0.869521797,-0.872598767,-0.875843942,-0.876851499
17,17,ARM22Cv,0.112496704,0.134193942,0.160612315,0.158862188,0.140978426,0.108150326,0.062350173,0.007060664,-0.053175792,-0.112139054,-0.165817961,-0.21317327,-0.252907991,-0.289301336,-0.328009218,-0.37070474,-0.422547877,-0.477309793,-0.528166652,-0.575279832,-0.787007451,-0.865463018,-0.908159196,-0.924831092,-0.923715949,-0.914505959,-0.904310644,-0.892864764,-0.878509462,-0.859975874,-0.839268446,-0.821041048,-0.806822717,-0.796495259,-0.78902328,-0.783500612,-0.779825926,-0.777760088,-0.779369414,-0.780762613,-0.780635238,-0.777685761,-0.770921648,-0.760686934,-0.748522282,-0.73660177,-0.724385738,-0.708909035,-0.690192759,-0.669523537,-0.647377789,-0.591579139,-0.375271887,-0.337557763,-0.40050447,-0.436653882,-0.476854891,-0.532352746,-0.597741663,-0.649148822,-0.681803346,-0.700214326,-0.723449171,-0.754153907,-0.782998085,-0.804089427,-0.816184878,-0.832166672,-0.853178561,-0.86578542,-0.869521797,-0.872598767,-0.875843942,-0.876851499
18,18,ARM12Cv,-0.701505244,-0.718794763,-0.737651229,-0.760061681,-0.78445673,-0.808186471,-0.831584752,-0.856607497,-0.881705463,-0.90473938,-0.9246912,-0.941145301,-0.954299092,-0.964499652,-0.972227991,-0.978019238,-0.982399642,-0.986124694,-0.990244031,-0.993639469,-0.996214449,-0.997123361,-0.99876976,-0.999972284,-0.998911679,-0.994358301,-0.985949576,-0.973717034,-0.958565056,-0.942489505,-0.927053094,-0.912107825,-0.897780776,-0.882840216,-0.867163479,-0.849573791,-0.829326153,-0.807086468,-0.744324327,-0.707578659,-0.666235089,-0.608914673,-0.529373109,-0.426603079,-0.304379433,-0.177696481,-0.06329824,0.0288676,0.096638143,0.14062719,0.16905196,0.167496368,0.045083094,-0.112323612,-0.275971055,-0.436082602,-0.549733341,-0.618159354,-0.658147335,-0.682103276,-0.707513154,-0.731014132,-0.745201647,-0.766816139,-0.79640615,-0.819794774,-0.836014032,-0.849677742,-0.862039566,-0.871754825,-0.876217008,-0.875909388,-0.873811364,-0.870838821
19,19,ARM13Cv,-0.811516464,-0.858132064,-0.900867641,-0.933025718,-0.955406368,-0.971728146,-0.983683765,-0.99179256,-0.996577322,-0.998987198,-0.999900937,-0.999946773,-0.999601126,-0.999207139,-0.998969436,-0.998971164,-0.999189019,-0.999512017,-0.99981451,-0.999986649,-0.999923646,-0.997344732,-0.991298079,-0.97922796,-0.97042793,-0.959012866,-0.944627225,-0.929695249,-0.915392518,-0.900985777,-0.885680676,-0.869579017,-0.851826727,-0.834070981,-0.81421119,-0.794810712,-0.776458383,-0.760824084,-0.713097811,-0.670389056,-0.61740309,-0.555609822,-0.483542442,-0.394333869,-0.283915877,-0.159975454,-0.042420931,0.046932813,0.108406305,0.150015011,0.169508293,0.210524827,0.070365839,-0.083676182,-0.256362796,-0.420162767,-0.543099046,-0.617881417,-0.663023591,-0.687420547,-0.713534296,-0.739274323,-0.753478885,-0.774174094,-0.805921614,-0.829054832,-0.845362306,-0.860399425,-0.871148646,-0.87903446,-0.882152855,-0.880378366,-0.877099454,-0.87331742
20,20,ARM15Cv,-0.456535161,-0.44857502,-0.434570879,-0.412403971,-0.383684635,-0.357566059,-0.339187592,-0.328586519,-0.323649049,-0.323792279,-0.328053921,-0.335318744,-0.344795138,-0.355229497,-0.36567983,-0.375953436,-0.386429667,-0.397651076,-0.410185128,-0.424311012,-0.525240719,-0.575681686,-0.620124698,-0.656249166,-0.683256805,-0.703044415,-0.717001915,-0.726796746,-0.729175866,-0.735576987,-0.738824129,-0.739441752,-0.738142669,-0.735590875,-0.733861923,-0.730090201,-0.725524724,-0.715512514,-0.676059246,-0.645607591,-0.605991423,-0.554739296,-0.491585493,-0.420731694,-0.343696058,-0.258809239,-0.168141171,-0.08330103,-0.02074133,0.018543925,0.045921937,0.152964145,0.077430345,-0.047174864,-0.241865531,-0.409489542,-0.51621753,-0.605134249,-0.664872229,-0.696776271,-0.72413975,-0.74650991,-0.766322076,-0.793905556,-0.825465739,-0.847844303,-0.866609752,-0.879918754,-0.887956798,-0.892453074,-0.892585874,-0.889963865,-0.884744048,-0.879732311
21,21,ARM18Cv,0.277525783,0.274553657,0.265379786,0.258309156,0.253674775,0.248460159,0.246395439,0.24580583,0.246583864,0.247777432,0.248254508,0.246855929,0.242417961,0.234312132,0.222344786,0.206572726,0.187062591,0.163931698,0.137731224,0.109515458,0.081421219,-0.027479332,-0.137777716,-0.227454185,-0.332214773,-0.425912261,-0.508010983,-0.566058099,-0.604093373,-0.631097555,-0.651430786,-0.666067958,-0.675249338,-0.679971457,-0.681888819,-0.683027983,-0.684752345,-0.687107801,-0.693545043,-0.696841717,-0.701510012,-0.707475066,-0.714940012,-0.722025156,-0.727130413,-0.72632134,-0.719653368,-0.708646357,-0.69356519,-0.672339857,-0.644379973,-0.568293452,-0.31440267,-0.287932634,-0.367423236,-0.407127172,-0.466632098,-0.53391093,-0.604043186,-0.6584813,-0.693395793,-0.716969013,-0.740234137,-0.769536853,-0.802034497,-0.822440445,-0.834512472,-0.853461087,-0.871602714,-0.880808592,-0.881751657,-0.881820917,-0.883056164,-0.8826285
22,22,ARM09Cv,-0.99847734,-0.998942852,-0.999343753,-0.999672472,-0.999872923,-0.999983966,-0.999982238,-0.999834061,-0.99959296,-0.999370337,-0.999283552,-0.999384761,-0.999602139,-0.999828577,-0.999970496,-0.999995708,-0.999922633,-0.999804735,-0.999709725,-0.999683917,-0.998638451,-0.999619484,-0.999673486,-0.998770475,-0.996347606,-0.991547465,-0.983539939,-0.972523451,-0.958330989,-0.940503359,-0.918240309,-0.891865492,-0.863105059,-0.833139241,-0.8029266,-0.772682607,-0.741399825,-0.707012057,-0.575722396,-0.478501022,-0.373031914,-0.254250228,-0.106542923,0.07101474,0.240198299,0.362282038,0.432274252,0.463700801,0.468455166,0.457079321,0.434243321,0.342119187,0.11467205,-0.076364174,-0.249791399,-0.417752832,-0.559641242,-0.632812679,-0.672787786,-0.693267941,-0.717921197,-0.745280623,-0.759354234,-0.775383174,-0.804617941,-0.828862667,-0.846159816,-0.862058938,-0.871422291,-0.878335238,-0.882128954,-0.879332781,-0.875389755,-0.870953083
23,23,ARM08Cv,-0.962202847,-0.965506971,-0.970348835,-0.97616446,-0.982151091,-0.987456858,-0.991933405,-0.995550454,-0.998173773,-0.99966222,-0.999970138,-0.999185622,-0.997428477,-0.994792283,-0.991355538,-0.987240613,-0.982715547,-0.97806251,-0.973494828,-0.969164431,-0.969063818,-0.959966719,-0.950737476,-0.938753545,-0.924085855,-0.909169316,-0.895622075,-0.880859494,-0.871104956,-0.858237565,-0.844640315,-0.824559808,-0.799123168,-0.767885208,-0.731614649,-0.691780388,-0.648606241,-0.602037668,-0.469013244,-0.388742328,-0.276486039,-0.119913928,0.070272133,0.260918856,0.412977874,0.514438927,0.57445997,0.601606548,0.598094702,0.566304743,0.518210053,0.386126995,0.138476104,-0.044202983,-0.232243285,-0.407070667,-0.555316985,-0.633061469,-0.679216623,-0.699644744,-0.724708796,-0.751793802,-0.767452657,-0.784320533,-0.81408006,-0.838342011,-0.856903076,-0.872723401,-0.880018294,-0.884897828,-0.887584567,-0.883687258,-0.878408372,-0.872964561
24,24,ARM06Cv,-0.059506927,-0.076689377,-0.118697084,-0.175180018,-0.219864026,-0.250319213,-0.271916837,-0.288298726,-0.302845716,-0.316463232,-0.329794109,-0.343035489,-0.356036603,-0.369155645,-0.382729769,-0.396980464,-0.411807328,-0.426851034,-0.441727251,-0.45619151,-0.438253045,-0.484507143,-0.521386683,-0.549245536,-0.572225571,-0.592133343,-0.609790504,-0.627344072,-0.643894136,-0.657847166,-0.668097436,-0.674704671,-0.678372204,-0.677413464,-0.675362885,-0.668130934,-0.658533514,-0.645234287,-0.56833154,-0.474462181,-0.342155784,-0.177828327,0.017387781,0.222366408,0.383575678,0.486037225,0.53839159,0.55266273,0.539199829,0.511131942,0.47438845,0.404245049,0.159966439,0.003206919,-0.21136041,-0.404258102,-0.535871387,-0.625701904,-0.68405807,-0.710993946,-0.736312211,-0.758417547,-0.781418562,-0.806746125,-0.83445847,-0.858889759,-0.880043864,-0.891795158,-0.895308018,-0.897219419,-0.89734143,-0.893011212,-0.885766983,-0.878758788
25,25,ARM05Cv,0.557753146,0.542130172,0.526900351,0.506872654,0.481339037,0.450794429,0.416204631,0.378930748,0.339664191,0.299727231,0.259477645,0.219196141,0.179719299,0.142011613,0.106902331,0.074453853,0.044547193,0.018178729,-0.003534473,-0.021472754,-0.038905021,-0.091894537,-0.148023784,-0.200006977,-0.248630211,-0.29836157,-0.346573293,-0.390636891,-0.430383712,-0.466097474,-0.503038168,-0.53777957,-0.568944573,-0.592953026,-0.616039217,-0.633608758,-0.645812929,-0.653390765,-0.650586367,-0.626507461,-0.596052825,-0.570060492,-0.543103278,-0.507406056,-0.462285757,-0.416604638,-0.383656442,-0.358904421,-0.327026367,-0.285098821,-0.23729831,-0.266730189,-0.070587106,-0.134308845,-0.294114888,-0.409582317,-0.482706636,-0.571003675,-0.642412782,-0.692950547,-0.724099815,-0.743036449,-0.77113843,-0.805366099,-0.833585024,-0.855644166,-0.873428762,-0.887016952,-0.896285594,-0.899013937,-0.897283971,-0.894924402,-0.890989721,-0.886277735
