OBJECTID_1,OBJECTID,PadID,wnes_9m,wnes_15m,wnes_21m,wnes_27m,wnes_33m,wnes_39m,wnes_45m,wnes_51m,wnes_57m,wnes_63m,wnes_69m,wnes_75m,wnes_81m,wnes_87m,wnes_93m,wnes_99m,wnes_105m,wnes_111m,wnes_117m,wnes_123m,wnes_130m,wnes_150m,wnes_170m,wnes_190m,wnes_210m,wnes_230m,wnes_250m,wnes_270m,wnes_290m,wnes_310m,wnes_330m,wnes_350m,wnes_370m,wnes_390m,wnes_410m,wnes_430m,wnes_450m,wnes_470m,wnes_530m,wnes_570m,wnes_610m,wnes_650m,wnes_690m,wnes_730m,wnes_770m,wnes_810m,wnes_850m,wnes_890m,wnes_930m,wnes_970m,wnes_1010m,wnes_1110m,wnes_1290m,wnes_1470m,wnes_1650m,wnes_1830m,wnes_2010m,wnes_2190m,wnes_2370m,wnes_2550m,wnes_2730m,wnes_2910m,wnes_3090m,wnes_3270m,wnes_3450m,wnes_3630m,wnes_3810m,wnes_3990m,wnes_4170m,wnes_4350m,wnes_4530m,wnes_4710m,wnes_4890m,wnes_5070m
355,355,RHO06C,-0.459464222,-0.486825526,-0.521929145,-0.590254486,-0.666708112,-0.732468545,-0.778622568,-0.806438327,-0.822733939,-0.832823038,-0.84004432,-0.844891906,-0.847652972,-0.848426878,-0.848121941,-0.847134352,-0.846117496,-0.845337212,-0.844869971,-0.844761133,-0.862182975,-0.866291106,-0.891983449,-0.916005611,-0.930433035,-0.930781841,-0.92198211,-0.904895604,-0.876768649,-0.841405213,-0.802415133,-0.758966446,-0.71343118,-0.662341535,-0.605277717,-0.543583632,-0.481304526,-0.424221843,-0.279348165,-0.192792103,-0.107464336,-0.026598578,0.03638747,0.076143242,0.086268067,0.073279038,0.057396993,0.031933796,-0.011312049,-0.069584519,-0.144208282,-0.426048815,-0.841480196,-0.971756876,-0.998998642,-0.999236763,-0.997905791,-0.996279836,-0.992700458,-0.990640581,-0.986673772,-0.983272731,-0.984807849,-0.987163186,-0.990257502,-0.995284498,-0.997953713,-0.998078406,-0.996869743,-0.996834517,-0.998173594,-0.999664009,-0.999959528,-0.998855829
356,356,RHO05C,-0.751168072,-0.75363028,-0.749184847,-0.744566441,-0.744030178,-0.742482066,-0.739068747,-0.736310303,-0.73853004,-0.747761667,-0.763086736,-0.782055199,-0.802390814,-0.822359324,-0.841251135,-0.858987629,-0.875877619,-0.89212966,-0.907843053,-0.923014581,-0.934526861,-0.983564079,-0.99965024,-0.994950473,-0.979105949,-0.957707107,-0.932944119,-0.904395938,-0.872836709,-0.841232538,-0.811113536,-0.777962208,-0.739379168,-0.695356488,-0.643586338,-0.58469224,-0.520965099,-0.454252928,-0.268904507,-0.169104576,-0.079873547,0.003476211,0.080455229,0.141344041,0.177586108,0.193930387,0.201238394,0.196565062,0.172591299,0.132352039,0.076679185,-0.269784719,-0.735806286,-0.927989483,-0.989888966,-0.999613643,-0.999978185,-0.99966377,-0.998427093,-0.995229483,-0.990658104,-0.985723495,-0.985854745,-0.988227546,-0.991273344,-0.996103585,-0.998773456,-0.99894166,-0.99786979,-0.997464716,-0.998593748,-0.999853134,-0.999845982,-0.998515069
357,357,RHO04C,-0.906155169,-0.867797554,-0.798920333,-0.711408913,-0.596013963,-0.519225419,-0.445087671,-0.376337171,-0.365134209,-0.437626541,-0.553166389,-0.659267962,-0.73950994,-0.79659456,-0.837723851,-0.86960113,-0.895762086,-0.916354358,-0.931229055,-0.940796494,-0.945987761,-0.955610037,-0.950008452,-0.934602022,-0.909810185,-0.882164419,-0.85702163,-0.832270801,-0.807082117,-0.783107996,-0.758572578,-0.728252709,-0.690488756,-0.644914687,-0.590092599,-0.525611579,-0.454752862,-0.381758511,-0.178030804,-0.069729365,0.019198624,0.090940617,0.148464024,0.199307323,0.240078166,0.268942416,0.286041588,0.285980463,0.267147154,0.236318976,0.200960115,-0.028143547,-0.48727864,-0.794413507,-0.934967935,-0.981979787,-0.992173791,-0.995032489,-0.997388303,-0.999956548,-0.996320963,-0.990571916,-0.988606215,-0.990449607,-0.994059324,-0.997574568,-0.999505937,-0.999760032,-0.999309123,-0.998913467,-0.999515831,-0.99999994,-0.999442637,-0.997575402
358,358,RHO03C,-0.415327728,-0.409853965,-0.392799735,-0.377287567,-0.3425515,-0.300051987,-0.260536283,-0.241098344,-0.248640612,-0.276128799,-0.310668796,-0.344958752,-0.376209497,-0.402325332,-0.423656762,-0.441363156,-0.456709743,-0.470327705,-0.481721401,-0.490612894,-0.569103003,-0.619512677,-0.640497565,-0.662230432,-0.685293734,-0.704477549,-0.710088015,-0.70730722,-0.697894156,-0.684104502,-0.665368617,-0.640661597,-0.60684967,-0.562455773,-0.505585313,-0.436405689,-0.357858837,-0.275525868,-0.052123919,0.059612628,0.148381859,0.216593504,0.264424771,0.293860495,0.307821751,0.315009207,0.322337776,0.321925044,0.308424741,0.285157561,0.255942017,0.104667254,-0.273846298,-0.623169124,-0.824219465,-0.924942136,-0.959326029,-0.97276783,-0.983867228,-0.996944308,-0.999353766,-0.995082319,-0.99224484,-0.992943823,-0.996498466,-0.998764277,-0.999707401,-0.999967754,-0.999920607,-0.999928772,-0.999997914,-0.999832213,-0.998855412,-0.996350825
359,359,RHO02C,-0.976286352,-0.961189687,-0.94489646,-0.926113188,-0.904426575,-0.879903436,-0.853020906,-0.826777756,-0.804377675,-0.78485328,-0.766760707,-0.748831928,-0.73117727,-0.714571834,-0.699761212,-0.687045097,-0.676408589,-0.667348802,-0.659241796,-0.652253091,-0.667052746,-0.659023941,-0.641579211,-0.62342155,-0.603297532,-0.578714192,-0.553842127,-0.536664307,-0.527355194,-0.520544171,-0.508374214,-0.488239795,-0.456481069,-0.410522372,-0.350807637,-0.277769357,-0.195998117,-0.111711293,0.122076027,0.237808883,0.320807368,0.373282462,0.404548347,0.418925613,0.416145563,0.399499655,0.374724686,0.344921857,0.319458574,0.300463974,0.28157571,0.165861845,-0.115423732,-0.439539284,-0.681819737,-0.816074789,-0.887075722,-0.935354888,-0.965032458,-0.988607824,-0.999667287,-0.998276055,-0.99595952,-0.996401072,-0.998167276,-0.999377072,-0.999839127,-0.999998212,-0.999930084,-0.999699652,-0.999509633,-0.9991889,-0.998053491,-0.99482882
360,360,RHO01C,-0.999987662,-0.999091327,-0.995706439,-0.98950994,-0.976552963,-0.958553195,-0.94151479,-0.925126612,-0.908244252,-0.888829172,-0.866731286,-0.843163848,-0.819243371,-0.795297742,-0.771963835,-0.749207258,-0.72682786,-0.704935431,-0.684000671,-0.664416015,-0.631116629,-0.620013535,-0.603561997,-0.572394669,-0.533759773,-0.490493029,-0.44624576,-0.409043819,-0.380752772,-0.358173728,-0.333573133,-0.303807646,-0.263964951,-0.210997447,-0.144793361,-0.065575883,0.022841807,0.11476773,0.357658386,0.457839787,0.515498817,0.538992882,0.543093681,0.537970603,0.521559298,0.491084784,0.452263862,0.40671429,0.359033197,0.314090133,0.278854936,0.185675532,-0.062332653,-0.357307553,-0.597981513,-0.747270107,-0.838241935,-0.911687851,-0.955386102,-0.983927608,-0.998389363,-0.999378562,-0.997713566,-0.997835279,-0.998738945,-0.999544978,-0.999901235,-0.999998093,-0.999729455,-0.999168873,-0.998833477,-0.998622119,-0.997428119,-0.993998706
361,361,SLO01C,0.994590282,0.999977827,0.998564482,0.992071271,0.98349601,0.972479522,0.960346341,0.947961271,0.936797559,0.930211604,0.929788053,0.920029342,0.908268869,0.895470381,0.8828035,0.869715691,0.856629968,0.84332931,0.830542803,0.818090141,0.8135252,0.76990366,0.733050406,0.70716393,0.687660694,0.671531856,0.653870583,0.634449601,0.6155352,0.589826524,0.552376449,0.495146275,0.414052844,0.300541312,0.146511033,-0.039092753,-0.221742198,-0.368630975,-0.584574878,-0.621604145,-0.614387214,-0.586443841,-0.551086903,-0.514631093,-0.478739262,-0.44885245,-0.430550724,-0.424338222,-0.425791025,-0.433928937,-0.445826024,-0.481941193,-0.527119994,-0.527106822,-0.525817215,-0.566654444,-0.629235625,-0.674106121,-0.703378499,-0.722938061,-0.729633033,-0.731489003,-0.742363989,-0.761563897,-0.781998277,-0.79725188,-0.806689203,-0.813726306,-0.81651932,-0.814427078,-0.801469684,-0.774669647,-0.737484574,-0.693454862
362,362,SLO02C,0.657086134,0.623604834,0.651368678,0.647536457,0.64026612,0.631563663,0.62256515,0.615067244,0.606806874,0.600091457,0.595575213,0.59337163,0.596324146,0.602244854,0.610958695,0.619810164,0.628539562,0.636961877,0.645641267,0.653905034,0.669608116,0.702528119,0.708105803,0.707794845,0.703555226,0.697524071,0.679395318,0.647765815,0.603987932,0.541771472,0.457118541,0.338537127,0.193563521,0.028228542,-0.143210709,-0.306004822,-0.450609893,-0.567238331,-0.728159904,-0.741050303,-0.712223291,-0.66644311,-0.615892351,-0.563952804,-0.516410291,-0.480256528,-0.458007514,-0.446526945,-0.441430569,-0.440865695,-0.444310993,-0.458682418,-0.508293152,-0.518485546,-0.52287817,-0.565501332,-0.624171793,-0.674031675,-0.703706205,-0.721866131,-0.729479253,-0.732501149,-0.742455363,-0.759290636,-0.780146062,-0.797943473,-0.810398817,-0.818860114,-0.823002756,-0.820143342,-0.807772636,-0.77949208,-0.737859666,-0.690235913
363,363,SLO03C,0.32606414,0.351795763,0.353576094,0.370423853,0.376542717,0.390750945,0.403837323,0.411981285,0.423172086,0.434638768,0.447353542,0.462462187,0.47575748,0.488129348,0.49985224,0.511555016,0.522788763,0.531943917,0.539910316,0.547952712,0.564927459,0.600484967,0.635619342,0.659451008,0.67859596,0.67531383,0.660130382,0.63122797,0.584116697,0.513591468,0.42002973,0.304960907,0.168582201,0.011851943,-0.165988773,-0.337522864,-0.481969386,-0.594699442,-0.760521054,-0.774909914,-0.745796442,-0.696926892,-0.635623574,-0.574059546,-0.521125615,-0.480177075,-0.452311784,-0.436193317,-0.427922308,-0.425157547,-0.425521135,-0.457493484,-0.500541568,-0.514892519,-0.526064575,-0.566844225,-0.628604472,-0.686324239,-0.718414962,-0.733501792,-0.73819077,-0.74070394,-0.74787724,-0.7617535,-0.781375408,-0.801084101,-0.815643966,-0.824886084,-0.83104372,-0.828641474,-0.816199899,-0.787576377,-0.742927313,-0.692272961
364,364,SLO04C,0.758346319,0.76139009,0.782954693,0.797689736,0.800486922,0.797186375,0.789816439,0.782058477,0.773265243,0.76552254,0.757089615,0.747417748,0.738945365,0.731380284,0.726313531,0.721948743,0.716267824,0.708561301,0.701021194,0.694492519,0.669446528,0.652729332,0.63892144,0.622640193,0.607078671,0.584601104,0.555215478,0.523846269,0.475824893,0.417493463,0.34227106,0.241806686,0.111420847,-0.04539793,-0.2205901,-0.395859122,-0.545247138,-0.657186985,-0.78713131,-0.791234314,-0.762752235,-0.709423244,-0.648210406,-0.584862053,-0.527634323,-0.482234031,-0.44949615,-0.42842108,-0.416280597,-0.410020411,-0.406875104,-0.40297097,-0.465971112,-0.497316778,-0.525782704,-0.565295458,-0.613548636,-0.667411625,-0.702593923,-0.716693759,-0.724249601,-0.734254718,-0.742190003,-0.754425645,-0.774656355,-0.796152472,-0.815112829,-0.827133298,-0.833679855,-0.829693258,-0.81469661,-0.782973647,-0.734506845,-0.674870789
