OBJECTID_1,OBJECTID,PadID,prc_9m,prc_15m,prc_21m,prc_27m,prc_33m,prc_39m,prc_45m,prc_51m,prc_57m,prc_63m,prc_69m,prc_75m,prc_81m,prc_87m,prc_93m,prc_99m,prc_105m,prc_111m,prc_117m,prc_123m,prc_130m,prc_150m,prc_170m,prc_190m,prc_210m,prc_230m,prc_250m,prc_270m,prc_290m,prc_310m,prc_330m,prc_350m,prc_370m,prc_390m,prc_410m,prc_430m,prc_450m,prc_470m,prc_530m,prc_570m,prc_610m,prc_650m,prc_690m,prc_730m,prc_770m,prc_810m,prc_850m,prc_890m,prc_930m,prc_970m,prc_1010m,prc_1110m,prc_1290m,prc_1470m,prc_1650m,prc_1830m,prc_2010m,prc_2190m,prc_2370m,prc_2550m,prc_2730m,prc_2910m,prc_3090m,prc_3270m,prc_3450m,prc_3630m,prc_3810m,prc_3990m,prc_4170m,prc_4350m,prc_4530m,prc_4710m,prc_4890m,prc_5070m
1,1,ARM04Tv,-0.00130548,-0.00045429,-0.000597127,-0.000625941,-0.000620396,-0.000602843,-0.000556109,-0.000497524,-0.0004392,-0.00038549,-0.000340651,-0.000300732,-0.000266946,-0.000238794,-0.000216768,-0.000199835,-0.000187749,-0.000180833,-0.000177046,-0.000173692,-0.00017612,-0.000163332,-0.000136638,-0.000103342,-6.56758E-05,-2.4528E-05,1.9334E-05,5.75964E-05,7.96158E-05,9.26493E-05,0.000106355,0.000117853,0.000121922,0.000120402,0.000116015,0.000111382,0.000107822,0.000104879,9.36158E-05,8.12606E-05,6.56895E-05,4.89158E-05,3.44001E-05,2.54206E-05,2.32422E-05,2.59694E-05,3.00142E-05,3.34122E-05,3.59749E-05,3.73419E-05,3.76466E-05,3.8802E-05,3.87291E-05,3.09289E-05,2.36207E-05,1.94082E-05,1.84506E-05,1.85657E-05,1.73094E-05,1.59689E-05,1.45722E-05,1.24409E-05,1.06961E-05,9.80292E-06,9.40516E-06,9.13238E-06,8.61131E-06,7.66978E-06,6.41449E-06,5.16063E-06,4.46689E-06,4.35632E-06,4.68301E-06,5.22347E-06
2,2,ARM05Tv,-0.00038205,-0.00031761,-0.001031089,-0.001471748,-0.00159245,-0.001548985,-0.001466145,-0.001394068,-0.001325412,-0.001263039,-0.001202237,-0.001136768,-0.001069801,-0.001000018,-0.00092788,-0.000854283,-0.000778545,-0.000701014,-0.000622318,-0.000543967,-0.00077153,-0.000454785,-0.000227417,-0.000101799,-4.15889E-05,-2.21554E-05,-1.7416E-05,1.31793E-06,3.07519E-05,5.8251E-05,7.60975E-05,8.40595E-05,9.05901E-05,9.44316E-05,9.8633E-05,0.000102381,0.000106759,0.000110613,0.000113906,0.000106856,9.31491E-05,7.67959E-05,6.36885E-05,5.62931E-05,5.31201E-05,5.26757E-05,5.33419E-05,5.33706E-05,5.24967E-05,5.08851E-05,4.88272E-05,4.99691E-05,4.48424E-05,3.37582E-05,2.63614E-05,2.16805E-05,1.96997E-05,1.91302E-05,1.74661E-05,1.59347E-05,1.50712E-05,1.32153E-05,1.11285E-05,9.95677E-06,9.30399E-06,9.01628E-06,8.50432E-06,7.62015E-06,6.36048E-06,5.01239E-06,4.19409E-06,3.99938E-06,4.37746E-06,5.01741E-06
3,3,ARM07Tv,0.001297247,0.001096998,0.001162917,0.001157682,0.001060842,0.000677442,0.000367952,0.000320712,0.0003629,0.000424175,0.00048975,0.000543441,0.00058376,0.000609096,0.000620419,0.000619528,0.000607437,0.000587102,0.000561604,0.000534306,0.000533615,0.000433193,0.00031704,0.000210202,0.000122392,5.72587E-05,1.54407E-05,-4.11282E-06,-8.23947E-06,-3.21306E-06,1.21887E-05,2.63076E-05,4.11289E-05,5.1753E-05,5.9269E-05,6.5676E-05,7.21357E-05,7.81052E-05,8.79021E-05,8.64003E-05,8.29569E-05,8.02877E-05,7.66875E-05,7.16431E-05,6.69987E-05,6.41647E-05,6.22035E-05,6.029E-05,5.84777E-05,5.68498E-05,5.51088E-05,5.2669E-05,4.62978E-05,3.35267E-05,2.3781E-05,1.76192E-05,1.64514E-05,1.7693E-05,1.71844E-05,1.63431E-05,1.55123E-05,1.34607E-05,1.13217E-05,1.00926E-05,9.50812E-06,9.17979E-06,8.77127E-06,8.03507E-06,6.98163E-06,5.80175E-06,4.91214E-06,4.57181E-06,4.67457E-06,5.20728E-06
4,4,ARM09Tv,0.000626863,0.000552972,0.00048448,0.000311155,0.000143958,1.7588E-05,-5.08515E-05,-5.28703E-05,-2.16963E-05,2.638E-05,7.71153E-05,0.000120305,0.000149478,0.000165646,0.00017145,0.000169995,0.000169251,0.000178517,0.000175834,0.000157278,0.0001358,6.8936E-05,-2.04998E-05,-2.83687E-05,-6.70988E-05,-6.75358E-05,-6.107E-05,-4.98407E-05,-3.4718E-05,-1.95353E-05,-7.68913E-06,1.51744E-06,8.71956E-06,1.47318E-05,2.00401E-05,2.27002E-05,2.30718E-05,2.03238E-05,2.10357E-06,-8.73023E-06,-1.34872E-05,-1.13274E-05,-4.31431E-06,4.00449E-06,1.22178E-05,1.92493E-05,2.41165E-05,2.76465E-05,3.11895E-05,3.48381E-05,3.78386E-05,3.59453E-05,3.30954E-05,2.58274E-05,1.53804E-05,1.00032E-05,1.13336E-05,1.41047E-05,1.67144E-05,1.69174E-05,1.49676E-05,1.31195E-05,1.13396E-05,1.00725E-05,9.6492E-06,9.46386E-06,9.05479E-06,8.38674E-06,7.53448E-06,6.7734E-06,6.06872E-06,5.49407E-06,5.31169E-06,5.51667E-06
5,5,ARM06Tv,0.000755048,0.001525604,0.001756434,0.001765969,0.001773188,0.001749404,0.001646038,0.001376017,0.001051731,0.000824168,0.000658229,0.000535147,0.000426265,0.000326992,0.000234536,0.000152349,7.99159E-05,1.83097E-05,-3.29339E-05,-7.3094E-05,-0.000320877,-0.000275315,-0.00021703,-0.000170966,-0.000131017,-9.24513E-05,-6.32863E-05,-3.48629E-05,-8.52714E-06,1.40315E-05,3.25241E-05,4.74092E-05,6.53731E-05,8.16035E-05,9.60794E-05,0.000103749,0.000107829,0.000109514,0.000111641,0.00010915,0.000103374,9.4155E-05,8.49376E-05,7.87677E-05,7.47143E-05,7.13193E-05,6.78961E-05,6.43774E-05,6.12265E-05,5.85309E-05,5.59511E-05,5.06038E-05,4.55835E-05,3.30538E-05,2.34681E-05,1.76644E-05,1.69227E-05,1.8014E-05,1.72237E-05,1.62409E-05,1.531E-05,1.32915E-05,1.11949E-05,1.00014E-05,9.444E-06,9.2065E-06,8.78911E-06,7.99353E-06,6.85651E-06,5.62667E-06,4.77718E-06,4.49341E-06,4.62975E-06,5.14885E-06
6,6,ARM18Tv,9.37525E-06,-0.000135263,-4.49899E-05,-6.20718E-05,-0.000112263,-0.000253582,-0.000456636,-0.000672712,-0.000862544,-0.001000008,-0.001084221,-0.001122769,-0.001121552,-0.001090068,-0.001039249,-0.000977479,-0.000911885,-0.000847073,-0.000784687,-0.00072548,-0.000588051,-0.000459996,-0.000361617,-0.000294283,-0.000233502,-0.000175845,-0.000130704,-9.60126E-05,-6.80583E-05,-4.30852E-05,-1.77476E-05,8.16584E-06,3.23378E-05,5.33491E-05,6.88787E-05,7.94087E-05,8.46657E-05,8.44701E-05,6.11008E-05,4.2508E-05,2.63698E-05,1.45325E-05,9.05351E-06,7.81134E-06,8.41481E-06,9.8346E-06,1.1585E-05,1.37754E-05,1.67722E-05,2.02906E-05,2.2885E-05,2.62631E-05,2.57123E-05,2.36759E-05,1.74097E-05,1.45968E-05,1.55864E-05,1.66566E-05,1.67209E-05,1.5888E-05,1.35561E-05,1.1489E-05,1.02311E-05,9.62509E-06,9.56151E-06,9.348E-06,8.81163E-06,7.83625E-06,6.64061E-06,5.62681E-06,5.06048E-06,4.9286E-06,5.05871E-06,5.3979E-06
7,7,ARM17Tv,-0.002149385,-0.002401783,-0.002192715,-0.002085967,-0.001967793,-0.001824009,-0.001666781,-0.001513275,-0.001369891,-0.001251104,-0.001157876,-0.001093966,-0.001044394,-0.000995885,-0.000945326,-0.000893821,-0.000843063,-0.000795203,-0.000751514,-0.000712092,-0.000670864,-0.000558667,-0.000452145,-0.000345583,-0.000251203,-0.000181909,-0.000133167,-9.02879E-05,-4.9722E-05,-1.81714E-05,7.86529E-06,2.89954E-05,4.94558E-05,6.71381E-05,7.91245E-05,8.42283E-05,8.42444E-05,8.08721E-05,6.46448E-05,5.25855E-05,4.04671E-05,3.05991E-05,2.44653E-05,2.30384E-05,2.46739E-05,2.74926E-05,3.06369E-05,3.33529E-05,3.44689E-05,3.44492E-05,3.43725E-05,3.75258E-05,3.5883E-05,2.83515E-05,2.00607E-05,1.57053E-05,1.6427E-05,1.76913E-05,1.70875E-05,1.606E-05,1.4381E-05,1.22965E-05,1.06504E-05,9.72082E-06,9.44969E-06,9.32315E-06,8.85878E-06,7.95007E-06,6.68193E-06,5.50901E-06,4.84033E-06,4.67303E-06,4.84111E-06,5.25632E-06
8,8,ARM16Tv,-0.000573132,-0.000885047,-0.00077831,-0.000649873,-0.000547485,-0.000462695,-0.000409593,-0.000372339,-0.000351789,-0.000341928,-0.000334667,-0.000327983,-0.000319676,-0.000306528,-0.000291068,-0.000274297,-0.000255828,-0.00023681,-0.000217774,-0.000198782,-0.000216743,-0.000150714,-0.000109156,-7.51128E-05,-5.41451E-05,-4.68354E-05,-3.90434E-05,-2.8064E-05,-2.04066E-05,-6.65885E-06,1.15343E-05,3.13434E-05,4.79227E-05,5.9829E-05,6.89849E-05,7.5501E-05,7.91684E-05,7.95311E-05,7.43028E-05,6.60511E-05,5.72001E-05,5.08253E-05,4.69864E-05,4.46469E-05,4.45844E-05,4.66925E-05,4.83987E-05,4.84897E-05,4.71784E-05,4.52482E-05,4.33092E-05,4.49975E-05,4.24302E-05,3.16527E-05,2.32322E-05,1.82613E-05,1.77672E-05,1.84298E-05,1.73019E-05,1.60549E-05,1.49115E-05,1.28955E-05,1.09347E-05,9.85815E-06,9.37776E-06,9.21608E-06,8.73979E-06,7.87529E-06,6.61847E-06,5.33927E-06,4.5743E-06,4.3822E-06,4.63267E-06,5.14187E-06
9,9,ARM15Tv,-0.000144927,-0.000299718,-0.000101765,-0.000230024,-0.000292922,-0.000339025,-0.000366815,-0.000390335,-0.000421929,-0.000445234,-0.000454301,-0.000460645,-0.000471212,-0.000482372,-0.00049174,-0.000503408,-0.000512776,-0.000514009,-0.000507525,-0.00049763,-0.000433696,-0.000394056,-0.000349212,-0.000279032,-0.000199519,-0.000137925,-9.83807E-05,-7.4297E-05,-6.01998E-05,-3.95079E-05,-1.72593E-05,9.11038E-06,2.8888E-05,4.34945E-05,5.40388E-05,6.03638E-05,6.3653E-05,6.41477E-05,5.97059E-05,5.82602E-05,5.81877E-05,5.83914E-05,5.87593E-05,5.85151E-05,5.80301E-05,5.76022E-05,5.63804E-05,5.43183E-05,5.19906E-05,4.98368E-05,4.80291E-05,4.30272E-05,3.99256E-05,3.01434E-05,2.02157E-05,1.47151E-05,1.56779E-05,1.7451E-05,1.70794E-05,1.62562E-05,1.47811E-05,1.27595E-05,1.0922E-05,9.80297E-06,9.44853E-06,9.36349E-06,8.94684E-06,8.09844E-06,6.88725E-06,5.73686E-06,4.98882E-06,4.73538E-06,4.80075E-06,5.20539E-06
10,10,ARM12Tv,-0.000754843,-0.001385116,-0.001549616,-0.001530453,-0.001375039,-0.001138282,-0.000891387,-0.000666803,-0.000474084,-0.000306483,-0.000172014,-7.0255E-05,2.27923E-07,4.18641E-05,5.90898E-05,5.65203E-05,3.93205E-05,1.22642E-05,-2.07885E-05,-5.65553E-05,-0.000181631,-9.5934E-05,-0.000128716,-9.09831E-05,-7.68321E-05,-7.74286E-05,-7.40873E-05,-6.53144E-05,-5.50596E-05,-4.59722E-05,-3.85849E-05,-3.45672E-05,-3.3936E-05,-3.69351E-05,-4.22259E-05,-4.79293E-05,-5.34933E-05,-5.76859E-05,-5.84309E-05,-5.05898E-05,-3.91279E-05,-2.77758E-05,-1.76724E-05,-7.89126E-06,1.29002E-06,8.93043E-06,1.46939E-05,1.91289E-05,2.32213E-05,2.72516E-05,3.07017E-05,3.60447E-05,3.33389E-05,2.61961E-05,1.53254E-05,9.92087E-06,1.15765E-05,1.44306E-05,1.6733E-05,1.67885E-05,1.4834E-05,1.296E-05,1.11987E-05,9.94833E-06,9.60435E-06,9.46645E-06,9.07814E-06,8.35071E-06,7.43611E-06,6.65623E-06,5.9392E-06,5.39841E-06,5.19733E-06,5.41265E-06
11,11,ARM21Tv,8.69142E-05,-0.000208662,-0.000372036,-0.000366691,0.000300161,0.000937888,0.000492334,-4.43989E-05,-0.000209245,1.45809E-05,0.000296391,0.000447182,0.000527876,0.000561489,0.000563617,0.000546312,0.000516795,0.000480682,0.00044156,0.000403043,0.00038955,0.000259218,0.000174019,0.000120964,6.8208E-05,1.90678E-05,-2.73884E-05,-6.89555E-05,-0.00010275,-0.000126814,-0.000140438,-0.000145781,-0.000144817,-0.000141251,-0.000136811,-0.000132044,-0.000127135,-0.000120912,-9.24298E-05,-6.93212E-05,-4.80843E-05,-3.09263E-05,-1.93785E-05,-1.08137E-05,-3.42871E-06,2.77629E-06,7.11547E-06,9.61557E-06,1.00394E-05,8.88738E-06,7.29229E-06,7.57293E-06,1.27886E-05,1.06166E-05,6.8304E-06,7.65022E-06,1.12361E-05,1.38325E-05,1.53567E-05,1.44875E-05,1.2682E-05,1.12091E-05,1.02649E-05,9.62598E-06,9.4148E-06,9.40508E-06,8.9558E-06,8.02042E-06,7.0351E-06,6.2639E-06,5.75455E-06,5.37697E-06,5.21623E-06,5.25357E-06
12,12,ARM24Tv,-0.003103704,-0.002498733,-0.00205962,-0.001748154,-0.00158398,-0.00151197,-0.001430938,-0.001316591,-0.001141499,-0.000767212,-0.000412102,-0.000320652,-0.000333595,-0.000296681,-0.000145928,2.42388E-05,0.000136676,0.000210411,0.000257305,0.000285264,0.000374784,0.000315152,0.000233364,0.000154022,9.16244E-05,3.99961E-05,-3.26286E-06,-4.13263E-05,-7.45706E-05,-0.000101566,-0.000121309,-0.000134369,-0.000142313,-0.000146023,-0.000146391,-0.000144975,-0.000142263,-0.00013767,-0.000108686,-8.11391E-05,-5.41928E-05,-3.35619E-05,-1.87613E-05,-7.627E-06,6.76118E-07,6.40465E-06,1.03381E-05,1.23575E-05,1.25982E-05,1.16569E-05,1.09344E-05,1.67553E-05,1.96437E-05,1.66553E-05,9.99204E-06,8.87381E-06,1.21933E-05,1.46158E-05,1.60248E-05,1.52707E-05,1.31323E-05,1.15439E-05,1.03967E-05,9.59031E-06,9.44442E-06,9.46479E-06,9.04145E-06,8.08733E-06,7.00502E-06,6.15168E-06,5.61641E-06,5.27176E-06,5.16062E-06,5.25861E-06
13,13,ARM27Tv,-0.001998447,-0.000755797,-0.000543707,-0.000478971,-0.000522542,-0.000617978,-0.00064965,-0.000597397,-0.000381762,-0.000236506,-0.000360542,-0.000537959,-0.000603612,-0.00051275,-0.000374909,-0.00027826,-0.000203664,-0.00014671,-0.000103753,-6.91588E-05,1.30955E-05,5.80525E-05,8.52202E-05,8.51897E-05,6.24665E-05,2.57652E-05,-1.05549E-05,-4.27489E-05,-7.05592E-05,-9.74183E-05,-0.000121932,-0.000143087,-0.000159541,-0.000170754,-0.000177331,-0.000178965,-0.00017689,-0.000171043,-0.000132082,-9.67978E-05,-6.4283E-05,-3.95657E-05,-2.18115E-05,-9.27568E-06,-5.68972E-07,5.17323E-06,8.91384E-06,1.09879E-05,1.17886E-05,1.18977E-05,1.23423E-05,1.97517E-05,2.24686E-05,1.83147E-05,1.03274E-05,8.44652E-06,1.18444E-05,1.45409E-05,1.61002E-05,1.55051E-05,1.34147E-05,1.17909E-05,1.054E-05,9.62011E-06,9.43163E-06,9.47146E-06,9.08293E-06,8.14147E-06,7.08917E-06,6.2526E-06,5.69264E-06,5.30659E-06,5.14369E-06,5.23323E-06
14,14,ARM29Tv,-0.002115617,-0.002205216,-0.002059446,-0.001927763,-0.001830543,-0.001437388,-0.001054817,-0.00115895,-0.001370409,-0.001406703,-0.0012447,-0.001013462,-0.000852504,-0.000735158,-0.000639006,-0.000554808,-0.000476098,-0.000399089,-0.000321104,-0.000243998,-9.18937E-05,6.06192E-05,0.000122046,0.000117974,8.02647E-05,3.53166E-05,-7.80457E-06,-4.77408E-05,-8.50655E-05,-0.000119778,-0.000150728,-0.000175728,-0.000192968,-0.000203248,-0.000206965,-0.000205843,-0.000199805,-0.000189549,-0.000139842,-0.000103159,-7.05433E-05,-4.41999E-05,-2.61579E-05,-1.43212E-05,-5.87529E-06,3.10963E-07,4.46282E-06,7.05931E-06,8.48532E-06,9.26381E-06,9.92759E-06,1.07655E-05,1.58832E-05,1.23881E-05,7.16876E-06,7.2629E-06,1.08748E-05,1.37875E-05,1.54766E-05,1.47759E-05,1.29927E-05,1.1456E-05,1.04017E-05,9.64608E-06,9.39944E-06,9.41387E-06,8.99841E-06,8.06997E-06,7.11319E-06,6.35759E-06,5.82872E-06,5.40985E-06,5.20008E-06,5.22654E-06
15,15,ARM25Cv,-0.00078939,-0.000672478,-0.000517667,-0.000429865,-0.0004343,-0.000458025,-0.000462029,-0.000441238,-0.000393867,-0.000326256,-0.000246636,-0.000168417,-0.000103612,-5.77675E-05,-3.05967E-05,-1.84544E-05,-1.80002E-05,-2.29964E-05,-2.94527E-05,-4.30706E-05,-7.09171E-05,-0.000120263,-0.00015177,-0.000155495,-0.000144368,-0.000132533,-0.000128642,-0.000125488,-0.000113476,-0.000100031,-8.72234E-05,-7.64801E-05,-6.6958E-05,-5.82868E-05,-5.00212E-05,-4.22712E-05,-3.48572E-05,-2.69185E-05,1.85162E-06,2.35674E-05,4.54073E-05,6.27536E-05,7.57687E-05,8.70285E-05,9.70197E-05,0.000104734,0.000108886,0.000109093,0.000105998,0.000100046,9.11719E-05,6.16405E-05,2.00606E-05,1.0657E-05,1.00796E-05,1.08623E-05,1.00314E-05,8.42339E-06,6.96276E-06,6.10789E-06,6.02938E-06,6.14982E-06,6.42681E-06,6.54269E-06,6.62416E-06,6.8474E-06,6.80276E-06,6.43811E-06,6.00653E-06,5.6502E-06,5.40248E-06,5.17668E-06,4.92039E-06,4.68323E-06
16,16,ARM23Cv,-0.001793906,-0.000823964,-0.000966378,-0.001064912,-0.001091414,-0.001037968,-0.000938818,-0.000817637,-0.000699507,-0.000596264,-0.000505102,-0.000418257,-0.000339349,-0.000273456,-0.000217243,-0.000172495,-0.000139526,-0.000106405,-7.33203E-05,-4.88281E-05,-2.63207E-05,-0.000106332,-0.000160989,-0.000156185,-0.000116167,-8.62739E-05,-6.7258E-05,-5.42692E-05,-4.91747E-05,-5.17714E-05,-5.76269E-05,-6.27357E-05,-6.43707E-05,-6.37343E-05,-6.15247E-05,-5.8237E-05,-5.36844E-05,-4.84507E-05,-2.75706E-05,-6.59599E-06,1.68233E-05,3.95401E-05,5.79077E-05,7.26722E-05,8.45141E-05,9.3456E-05,9.91225E-05,0.000101271,9.98661E-05,9.56736E-05,8.94315E-05,7.02207E-05,2.95038E-05,1.58367E-05,1.35386E-05,1.19159E-05,9.69991E-06,7.90416E-06,6.57988E-06,5.75711E-06,5.68511E-06,5.94537E-06,6.29807E-06,6.44392E-06,6.5019E-06,6.61343E-06,6.60428E-06,6.38014E-06,6.01656E-06,5.66979E-06,5.40396E-06,5.15552E-06,4.881E-06,4.62483E-06
17,17,ARM22Cv,-0.000694338,-0.001597272,-0.001671764,-0.00163839,-0.001474313,-0.001286893,-0.001096686,-0.00092184,-0.000758838,-0.000615862,-0.00050308,-0.000412953,-0.000342141,-0.000277589,-0.00020912,-0.000143828,-9.1615E-05,-4.90472E-05,-1.37844E-05,1.25347E-05,5.46439E-05,-4.21984E-05,-9.22631E-05,-9.42694E-05,-6.66734E-05,-2.76541E-05,3.35407E-06,1.60327E-05,1.01592E-05,-6.23547E-06,-2.5419E-05,-4.13606E-05,-5.2093E-05,-5.79855E-05,-6.06771E-05,-6.06767E-05,-5.9184E-05,-5.68818E-05,-4.12623E-05,-2.32935E-05,-9.43424E-07,2.3293E-05,4.48793E-05,6.20467E-05,7.49791E-05,8.44182E-05,9.07288E-05,9.384E-05,9.37696E-05,9.12669E-05,8.68034E-05,7.02207E-05,2.95038E-05,1.58367E-05,1.35386E-05,1.19159E-05,9.69991E-06,7.90416E-06,6.57988E-06,5.75711E-06,5.68511E-06,5.94537E-06,6.29807E-06,6.44392E-06,6.5019E-06,6.61343E-06,6.60428E-06,6.38014E-06,6.01656E-06,5.66979E-06,5.40396E-06,5.15552E-06,4.881E-06,4.62483E-06
18,18,ARM12Cv,-0.000351717,-0.000373698,-0.000570182,-0.000637654,-0.000562417,-0.00040094,-0.000241398,-0.000122202,-3.52511E-05,4.142E-05,0.000128194,0.000222277,0.000317683,0.000407877,0.000483368,0.000536887,0.000568654,0.000583942,0.000570858,0.000544386,0.000496286,0.000399807,0.000269774,0.000142942,3.71003E-05,-2.41914E-05,-5.4414E-05,-6.51953E-05,-5.80229E-05,-3.55455E-05,-9.34978E-06,1.8771E-05,4.00029E-05,6.65843E-05,8.74623E-05,0.000102738,0.000113792,0.000121983,0.00013996,0.000143802,0.000139766,0.0001265,0.000104536,7.86298E-05,5.32999E-05,3.30222E-05,2.06482E-05,1.46149E-05,1.27337E-05,1.32473E-05,1.41313E-05,1.85312E-05,1.32383E-05,7.89345E-06,7.55795E-06,8.6804E-06,9.29928E-06,8.61149E-06,7.65778E-06,7.26814E-06,7.10903E-06,7.14109E-06,7.10263E-06,7.07359E-06,7.31337E-06,7.62898E-06,7.53171E-06,7.0389E-06,6.3979E-06,5.95784E-06,5.66517E-06,5.40919E-06,5.17106E-06,4.93884E-06
19,19,ARM13Cv,-0.000907759,-0.001508842,-0.001796586,-0.001839583,-0.001715457,-0.001494388,-0.001273466,-0.001105028,-0.00100192,-0.000930896,-0.000870725,-0.000815176,-0.000762799,-0.000713852,-0.000668466,-0.000624572,-0.00058019,-0.000534506,-0.000488884,-0.000444895,-0.000452523,-0.000337203,-0.000257008,-0.000206961,-0.00015027,-0.000108903,-7.4014E-05,-4.7264E-05,-1.82291E-05,9.07085E-06,3.11696E-05,5.0595E-05,7.10201E-05,8.56611E-05,0.000102767,0.00011676,0.000127975,0.000138317,0.000156686,0.000156521,0.000146117,0.000129067,0.000109614,8.82253E-05,6.46783E-05,4.25985E-05,2.67107E-05,1.93424E-05,1.70974E-05,1.66192E-05,1.76982E-05,2.02023E-05,1.41939E-05,6.75597E-06,6.30737E-06,8.25154E-06,9.56596E-06,8.85356E-06,7.92555E-06,7.38058E-06,7.1087E-06,7.09563E-06,7.03513E-06,7.03524E-06,7.28423E-06,7.57757E-06,7.44585E-06,6.90044E-06,6.26256E-06,5.84752E-06,5.58273E-06,5.34709E-06,5.12572E-06,4.90541E-06
20,20,ARM15Cv,-0.001005981,-0.000309748,-0.000399477,-0.00052305,-0.000603452,-0.00064639,-0.000698507,-0.000738451,-0.000765889,-0.000771148,-0.000758385,-0.000732896,-0.000696911,-0.000651771,-0.000599557,-0.000545749,-0.000493557,-0.000445784,-0.000404976,-0.000372648,-0.000339686,-0.000353131,-0.000345402,-0.000303253,-0.000235712,-0.000166668,-0.000114577,-7.67893E-05,-4.3442E-05,-1.71706E-05,8.99136E-06,3.43301E-05,5.88319E-05,8.38726E-05,0.000110287,0.000132874,0.000151508,0.000166574,0.00018035,0.000175934,0.000169131,0.000160667,0.000149116,0.000133044,0.000113499,9.19548E-05,7.02447E-05,5.16883E-05,3.97419E-05,3.33855E-05,2.96933E-05,2.05771E-05,1.32124E-05,4.36054E-06,4.19961E-06,8.26795E-06,1.02584E-05,9.6771E-06,7.94677E-06,6.9981E-06,6.64787E-06,6.51464E-06,6.46762E-06,6.61165E-06,6.9152E-06,7.16857E-06,6.94655E-06,6.34667E-06,5.83248E-06,5.52879E-06,5.32319E-06,5.13646E-06,4.94703E-06,4.76204E-06
21,21,ARM18Cv,-0.000248952,0.000149779,-7.80111E-05,-0.000144486,-0.000263506,-0.000425523,-0.000567855,-0.000680514,-0.000762664,-0.000817548,-0.000845405,-0.000847875,-0.00082583,-0.000782438,-0.000721696,-0.000652617,-0.000585558,-0.0005275,-0.000482388,-0.000451495,-0.000469252,-0.000438262,-0.000447487,-0.000460749,-0.000430618,-0.000389462,-0.000324476,-0.000253202,-0.000192242,-0.000143007,-0.000104431,-7.54644E-05,-5.37797E-05,-3.74444E-05,-2.5034E-05,-1.51802E-05,-6.51466E-06,1.57303E-06,2.74923E-05,4.33303E-05,5.63492E-05,6.95639E-05,8.18545E-05,9.27829E-05,0.000101436,0.00010716,0.000110404,0.000111018,0.00010856,0.00010342,9.61048E-05,7.15392E-05,2.59491E-05,1.1917E-05,1.04049E-05,1.05634E-05,1.02528E-05,8.52592E-06,7.11654E-06,6.01144E-06,5.61635E-06,5.76795E-06,6.13754E-06,6.32514E-06,6.38394E-06,6.48298E-06,6.41668E-06,6.09702E-06,5.74121E-06,5.44075E-06,5.22958E-06,5.03342E-06,4.7944E-06,4.57199E-06
22,22,ARM09Cv,0.004086266,0.00411052,0.003934262,0.00362578,0.003385454,0.003178281,0.002951147,0.002701927,0.002468834,0.002256956,0.0020723,0.001908278,0.001761792,0.001631987,0.001519076,0.00141886,0.001327873,0.001240514,0.001156433,0.001080173,0.000984818,0.000817411,0.000671499,0.000545316,0.00043929,0.000356392,0.000296336,0.000261478,0.000253737,0.000240527,0.000245038,0.000247132,0.000244618,0.00023596,0.000223025,0.000209228,0.000195285,0.000180851,0.000138732,0.000113685,8.38271E-05,4.8792E-05,1.37168E-05,-1.26461E-05,-2.0639E-05,-1.46879E-05,-5.32949E-06,2.87854E-06,8.74681E-06,1.29758E-05,1.55032E-05,1.89183E-05,1.36985E-05,7.19035E-06,6.37337E-06,7.63049E-06,9.0488E-06,8.68639E-06,8.28227E-06,7.86669E-06,7.49689E-06,7.44015E-06,7.33876E-06,7.30478E-06,7.56771E-06,7.79038E-06,7.63863E-06,7.1009E-06,6.41913E-06,5.95842E-06,5.67477E-06,5.42751E-06,5.20566E-06,4.98851E-06
23,23,ARM08Cv,0.004601771,0.005523989,0.004927327,0.004222614,0.003435299,0.002707484,0.002115208,0.001645246,0.001278785,0.000994352,0.000784012,0.000626307,0.000503275,0.000409827,0.000344808,0.000303639,0.000283789,0.000279112,0.000283101,0.000292118,0.00025435,0.000286417,0.00028013,0.000267077,0.000257765,0.000253421,0.000253594,0.000256671,0.000258512,0.000266126,0.000271898,0.000283846,0.000288969,0.000285722,0.000275059,0.000259763,0.00024218,0.000223023,0.000165307,0.000132365,9.74449E-05,6.04238E-05,2.63766E-05,4.84394E-06,-7.58485E-07,3.33011E-06,1.0206E-05,1.59328E-05,1.87797E-05,1.96399E-05,2.01559E-05,1.99273E-05,1.45035E-05,6.3657E-06,5.28558E-06,7.26682E-06,9.1928E-06,8.99864E-06,8.51814E-06,7.93327E-06,7.49939E-06,7.37481E-06,7.23984E-06,7.24689E-06,7.54073E-06,7.72406E-06,7.52791E-06,6.94952E-06,6.28283E-06,5.85462E-06,5.59201E-06,5.36342E-06,5.15712E-06,4.95565E-06
