OBJECTID_1,OBJECTID,PadID,prc_9m,prc_15m,prc_21m,prc_27m,prc_33m,prc_39m,prc_45m,prc_51m,prc_57m,prc_63m,prc_69m,prc_75m,prc_81m,prc_87m,prc_93m,prc_99m,prc_105m,prc_111m,prc_117m,prc_123m,prc_130m,prc_150m,prc_170m,prc_190m,prc_210m,prc_230m,prc_250m,prc_270m,prc_290m,prc_310m,prc_330m,prc_350m,prc_370m,prc_390m,prc_410m,prc_430m,prc_450m,prc_470m,prc_530m,prc_570m,prc_610m,prc_650m,prc_690m,prc_730m,prc_770m,prc_810m,prc_850m,prc_890m,prc_930m,prc_970m,prc_1010m,prc_1110m,prc_1290m,prc_1470m,prc_1650m,prc_1830m,prc_2010m,prc_2190m,prc_2370m,prc_2550m,prc_2730m,prc_2910m,prc_3090m,prc_3270m,prc_3450m,prc_3630m,prc_3810m,prc_3990m,prc_4170m,prc_4350m,prc_4530m,prc_4710m,prc_4890m,prc_5070m
587,587,GUT03T,-0.001877781,-0.000575427,-0.000314429,-0.000203516,-0.000238328,-0.000322449,-0.000378125,-0.000373023,-0.000328715,-0.000258614,-0.000182781,-0.000122615,-7.77234E-05,-4.43377E-05,-2.09235E-05,-5.90364E-06,6.41336E-07,2.72952E-06,3.60716E-06,5.12304E-06,-3.07045E-05,-8.11596E-07,1.92027E-05,4.19304E-05,5.72541E-05,5.16827E-05,3.34559E-05,1.25322E-05,-1.51259E-06,-6.88965E-06,-7.03705E-06,-4.89915E-06,-2.48427E-06,-1.10551E-06,-7.42995E-07,-8.21051E-07,-8.36216E-07,-6.90283E-07,-1.67239E-06,-3.71613E-06,-5.50443E-06,-5.53233E-06,-5.42474E-06,-5.28197E-06,-5.55E-06,-5.5119E-06,-5.01973E-06,-4.34363E-06,-3.84753E-06,-3.55502E-06,-3.10187E-06,-2.553E-06,-2.39597E-06,-2.72136E-06,-3.92293E-06,-4.45302E-06,-4.11709E-06,-3.39033E-06,-2.56157E-06,-1.9709E-06,-1.48426E-06,-9.64509E-07,-6.04024E-07,-3.94689E-07,-2.00436E-07,7.36756E-08,4.05875E-07,7.28086E-07,1.01822E-06,1.241E-06,1.39217E-06,1.49172E-06,1.54131E-06,1.54683E-06
588,588,GUT04T,0.00073747,0.00038295,2.92245E-05,-0.000112683,-0.000245311,-0.0003693,-0.00043292,-0.000458353,-0.000464745,-0.000464641,-0.000462818,-0.000457707,-0.000448297,-0.000429518,-0.000398852,-0.000359747,-0.000314166,-0.000266588,-0.000219651,-0.000175236,-0.000128765,-3.24023E-05,2.74424E-05,4.69916E-05,4.57454E-05,3.6177E-05,2.42219E-05,9.39427E-06,1.6548E-06,7.84395E-07,3.05683E-06,5.59656E-06,6.69019E-06,7.10374E-06,7.0651E-06,6.44422E-06,5.51649E-06,4.24078E-06,-1.48577E-06,-5.02503E-06,-6.07142E-06,-6.18386E-06,-6.04472E-06,-5.6447E-06,-5.41508E-06,-5.18575E-06,-4.70134E-06,-4.03448E-06,-3.53554E-06,-3.29937E-06,-2.74776E-06,-2.553E-06,-2.39597E-06,-2.72136E-06,-3.92293E-06,-4.45302E-06,-4.11709E-06,-3.39033E-06,-2.56157E-06,-1.9709E-06,-1.48426E-06,-9.64509E-07,-6.04024E-07,-3.94689E-07,-2.00436E-07,7.36756E-08,4.05875E-07,7.28086E-07,1.01822E-06,1.241E-06,1.39217E-06,1.49172E-06,1.54131E-06,1.54683E-06
589,589,GUT07T,0.002092687,0.000793151,0.000475347,0.00038847,0.000222658,0.000152511,0.00014772,0.000123147,6.37746E-05,-1.38984E-06,-4.95026E-05,-7.19984E-05,-7.57653E-05,-6.94491E-05,-5.73182E-05,-3.83154E-05,-1.30891E-05,1.60711E-05,4.68633E-05,7.55845E-05,0.000178213,0.000166457,0.000145518,0.000129621,0.000113544,9.80367E-05,8.76011E-05,8.31871E-05,8.24763E-05,8.09736E-05,7.60636E-05,6.8611E-05,5.98159E-05,5.07307E-05,4.21901E-05,3.4296E-05,2.73376E-05,2.15619E-05,8.58786E-06,2.71839E-06,-2.59443E-06,-5.075E-06,-6.06156E-06,-6.31192E-06,-5.71181E-06,-4.66288E-06,-3.78721E-06,-2.92701E-06,-2.12795E-06,-1.52212E-06,-1.03789E-06,-1.18576E-06,-5.51763E-07,-1.27326E-06,-2.62337E-06,-3.59184E-06,-3.37961E-06,-2.9093E-06,-2.34064E-06,-1.82772E-06,-1.23997E-06,-7.71556E-07,-4.98807E-07,-2.79579E-07,-7.45058E-08,1.79101E-07,5.18743E-07,8.71024E-07,1.18525E-06,1.4372E-06,1.61945E-06,1.7321E-06,1.78882E-06,1.79819E-06
590,590,GUT06T,-0.001593249,-0.001138923,-0.000798619,-0.000425088,-0.000190723,-8.35059E-05,-5.25529E-05,-3.06983E-05,-6.43164E-06,2.39051E-05,5.78458E-05,8.19998E-05,9.32415E-05,9.13097E-05,8.43264E-05,7.63619E-05,6.69179E-05,5.59558E-05,4.65188E-05,4.02718E-05,3.90822E-05,3.22337E-05,3.78431E-05,3.98691E-05,4.51478E-05,5.38763E-05,6.1844E-05,6.90319E-05,7.15494E-05,7.02131E-05,6.63271E-05,6.01034E-05,5.25332E-05,4.4935E-05,3.74219E-05,3.12404E-05,2.60935E-05,2.11447E-05,7.6386E-06,1.42511E-06,-2.74285E-06,-5.63984E-06,-6.09908E-06,-5.66441E-06,-5.0451E-06,-4.4392E-06,-3.62378E-06,-2.8008E-06,-2.03502E-06,-1.4949E-06,-1.21551E-06,-5.44146E-07,6.95075E-07,-1.23552E-07,-1.90169E-06,-3.14885E-06,-3.36266E-06,-3.04911E-06,-2.48653E-06,-1.89667E-06,-1.33364E-06,-8.80903E-07,-5.98452E-07,-3.46931E-07,-1.07721E-07,1.78937E-07,5.40904E-07,8.99751E-07,1.21862E-06,1.47606E-06,1.65929E-06,1.77042E-06,1.82772E-06,1.84054E-06
591,591,GUT05T,0.001018018,0.000455324,7.25418E-05,-0.000126242,-0.000220244,-0.000253747,-0.000243948,-0.000229932,-0.000224791,-0.000216844,-0.000203346,-0.000179635,-0.000146282,-0.000106529,-6.54403E-05,-2.8161E-05,6.62991E-07,1.84643E-05,2.49183E-05,2.11698E-05,1.10774E-05,-3.67474E-05,-6.64163E-05,-6.34984E-05,-4.38805E-05,-1.78651E-05,6.56773E-06,2.54784E-05,3.45969E-05,3.68494E-05,3.6877E-05,3.59812E-05,3.45551E-05,3.1777E-05,2.74662E-05,2.25788E-05,1.77196E-05,1.28872E-05,2.05486E-06,-1.99169E-06,-4.56736E-06,-6.5367E-06,-6.51578E-06,-5.74724E-06,-5.09988E-06,-4.74252E-06,-4.15759E-06,-3.4756E-06,-2.78259E-06,-2.18372E-06,-1.76966E-06,-1.17464E-06,-4.52996E-07,-1.02137E-06,-2.55751E-06,-3.62974E-06,-3.64331E-06,-3.1661E-06,-2.54047E-06,-1.95152E-06,-1.39193E-06,-9.26344E-07,-6.05763E-07,-3.65352E-07,-1.43734E-07,1.22624E-07,4.88263E-07,8.37051E-07,1.15263E-06,1.39916E-06,1.57036E-06,1.68014E-06,1.73372E-06,1.74573E-06
592,592,GUT08T,0.001035386,0.000367776,-0.000327168,-0.000797899,-0.000959248,-0.001024161,-0.001058976,-0.001058325,-0.001033077,-0.001000371,-0.000959699,-0.000905363,-0.000833357,-0.000742278,-0.000636138,-0.00052421,-0.000414625,-0.000314113,-0.000225989,-0.000151186,-0.000111229,3.96485E-05,0.000105816,0.000122265,0.00011766,0.000110388,0.000105956,0.000101314,9.69904E-05,9.07768E-05,8.35876E-05,7.61901E-05,6.82585E-05,5.97877E-05,5.07619E-05,4.18615E-05,3.3745E-05,2.67572E-05,1.22047E-05,4.14416E-06,-1.6294E-06,-4.63017E-06,-6.0303E-06,-6.02528E-06,-5.44178E-06,-4.62331E-06,-3.92744E-06,-3.20668E-06,-2.45257E-06,-1.66652E-06,-8.05691E-07,-2.45749E-07,5.85875E-07,-2.54424E-07,-1.90299E-06,-3.05612E-06,-3.0894E-06,-2.76543E-06,-2.237E-06,-1.73432E-06,-1.17035E-06,-7.12223E-07,-4.76028E-07,-2.64211E-07,-3.36974E-08,2.47329E-07,5.77132E-07,9.39324E-07,1.2533E-06,1.51398E-06,1.70741E-06,1.82172E-06,1.8824E-06,1.8906E-06
593,593,GUT09T,-0.000772211,-0.002030622,-0.00184904,-0.001659811,-0.001507281,-0.001342293,-0.001202955,-0.001095065,-0.000979404,-0.000849647,-0.000723026,-0.000607006,-0.000507098,-0.000421804,-0.000347672,-0.000281566,-0.00022229,-0.000168078,-0.000118261,-7.227E-05,-2.51109E-05,8.19734E-05,0.000126548,0.000131699,0.000122561,0.000111657,0.000103615,9.74014E-05,8.92519E-05,8.20366E-05,7.61977E-05,7.03891E-05,6.38194E-05,5.64128E-05,4.84198E-05,4.05081E-05,3.32453E-05,2.70126E-05,1.25808E-05,3.57755E-06,-1.28142E-06,-4.09831E-06,-5.64548E-06,-5.88322E-06,-5.58698E-06,-5.04442E-06,-4.34174E-06,-3.60043E-06,-2.7235E-06,-1.62683E-06,-5.53284E-07,6.92232E-07,6.41028E-07,-4.5355E-07,-1.8543E-06,-2.80121E-06,-2.75585E-06,-2.45208E-06,-1.99946E-06,-1.55554E-06,-9.86635E-07,-5.36997E-07,-3.38569E-07,-1.80302E-07,5.03686E-08,3.22601E-07,6.22979E-07,9.82188E-07,1.29243E-06,1.55163E-06,1.75165E-06,1.87331E-06,1.93588E-06,1.93737E-06
594,594,GUT10T,-0.002060369,-0.001557027,-0.001221762,-0.001077533,-0.000942158,-0.000743239,-0.000504126,-0.000271899,-9.48046E-05,1.65054E-05,7.58093E-05,0.000102578,0.000109196,0.00010572,0.000100663,9.6002E-05,9.29997E-05,9.21034E-05,9.33533E-05,9.70104E-05,0.000181182,0.000145038,0.000139021,0.000134974,0.000123875,0.000108698,9.23298E-05,7.5382E-05,6.23855E-05,5.53306E-05,5.07021E-05,4.76083E-05,4.44809E-05,4.05141E-05,3.59456E-05,3.16568E-05,2.77114E-05,2.38082E-05,9.56979E-06,3.37627E-06,-1.41867E-07,-3.11115E-06,-4.90109E-06,-5.85411E-06,-6.02201E-06,-5.69503E-06,-5.05834E-06,-4.05601E-06,-2.66428E-06,-1.15906E-06,1.89706E-07,6.92232E-07,6.41028E-07,-4.5355E-07,-1.8543E-06,-2.80121E-06,-2.75585E-06,-2.45208E-06,-1.99946E-06,-1.55554E-06,-9.86635E-07,-5.36997E-07,-3.38569E-07,-1.80302E-07,5.03686E-08,3.22601E-07,6.22979E-07,9.82188E-07,1.29243E-06,1.55163E-06,1.75165E-06,1.87331E-06,1.93588E-06,1.93737E-06
595,595,GUT22T,0.000128762,-1.97144E-05,-3.05048E-05,-9.87069E-05,-0.000148159,-0.000202936,-0.000233842,-0.000239216,-0.000239945,-0.000239842,-0.000240171,-0.000244277,-0.000251784,-0.000262349,-0.000273087,-0.00028148,-0.000285568,-0.000289934,-0.00028889,-0.00027663,-0.000338065,-0.000312895,-0.00021961,-0.000122529,-4.3404E-05,9.85122E-06,3.93246E-05,5.2912E-05,5.36281E-05,4.9038E-05,4.35098E-05,3.77776E-05,3.18929E-05,2.51299E-05,1.75249E-05,9.92379E-06,2.40194E-06,-4.68806E-06,-1.78176E-05,-1.79927E-05,-1.40164E-05,-9.4714E-06,-6.30284E-06,-4.1314E-06,-2.81445E-06,-1.89152E-06,-1.58304E-06,-2.22707E-06,-3.47399E-06,-4.98665E-06,-6.40791E-06,-1.03443E-05,-1.32967E-05,-1.30803E-05,-1.00237E-05,-6.44179E-06,-3.93997E-06,-2.51143E-06,-1.75465E-06,-1.25733E-06,-8.55523E-07,-4.14825E-07,-1.01451E-07,3.98201E-08,9.8321E-08,1.85123E-07,3.13824E-07,5.01769E-07,6.83107E-07,8.33135E-07,9.49814E-07,1.01803E-06,1.04726E-06,1.03076E-06
596,596,GUT24T,-0.000581245,-6.47778E-05,-0.000150434,-0.000138907,-0.000117156,-7.86393E-05,-5.97184E-05,-5.76505E-05,-7.55523E-05,-0.00011157,-0.000151425,-0.00019404,-0.000239809,-0.000286502,-0.000328129,-0.000360926,-0.00038501,-0.00040182,-0.000412855,-0.000420134,-0.000470851,-0.000436659,-0.000402744,-0.00036537,-0.000303189,-0.000222783,-0.000143827,-7.5713E-05,-2.6181E-05,2.79863E-06,1.32087E-05,1.52837E-05,1.48282E-05,1.3419E-05,1.18118E-05,9.64521E-06,5.8261E-06,8.77558E-07,-1.51057E-05,-1.95512E-05,-1.76045E-05,-1.31784E-05,-8.79044E-06,-5.2272E-06,-2.64472E-06,-1.20863E-06,-4.74275E-07,-6.61168E-07,-1.66392E-06,-3.15188E-06,-4.48912E-06,-7.54871E-06,-1.10033E-05,-1.10451E-05,-8.88817E-06,-6.13224E-06,-4.05356E-06,-2.56758E-06,-1.94413E-06,-1.45422E-06,-9.89421E-07,-5.09301E-07,-1.64165E-07,-1.85809E-08,3.23714E-08,1.50694E-07,3.31179E-07,5.63542E-07,7.83739E-07,9.59429E-07,1.08766E-06,1.1721E-06,1.2085E-06,1.19493E-06
