OBJECTID_1,OBJECTID,PadID,crosc_9m,crosc_15m,crosc_21m,crosc_27m,crosc_33m,crosc_39m,crosc_45m,crosc_51m,crosc_57m,crosc_63m,crosc_69m,crosc_75m,crosc_81m,crosc_87m,crosc_93m,crosc_99m,crosc_105m,crosc_111m,crosc_117m,crosc_123m,crosc_130m,crosc_150m,crosc_170m,crosc_190m,crosc_210m,crosc_230m,crosc_250m,crosc_270m,crosc_290m,crosc_310m,crosc_330m,crosc_350m,crosc_370m,crosc_390m,crosc_410m,crosc_430m,crosc_450m,crosc_470m,crosc_530m,crosc_570m,crosc_610m,crosc_650m,crosc_690m,crosc_730m,crosc_770m,crosc_810m,crosc_850m,crosc_890m,crosc_930m,crosc_970m,crosc_1010m,crosc_1110m,crosc_1290m,crosc_1470m,crosc_1650m,crosc_1830m,crosc_2010m,crosc_2190m,crosc_2370m,crosc_2550m,crosc_2730m,crosc_2910m,crosc_3090m,crosc_3270m,crosc_3450m,crosc_3630m,crosc_3810m,crosc_3990m,crosc_4170m,crosc_4350m,crosc_4530m,crosc_4710m,crosc_4890m,crosc_5070m
779,779,SMI26T,0.002251519,0.000489084,0.001037788,0.000507312,0.000245968,9.45342E-05,3.87167E-05,1.47025E-05,2.37915E-05,2.87307E-05,4.44452E-05,6.78438E-05,8.17152E-05,7.92055E-05,7.38971E-05,5.76697E-05,5.38926E-05,4.93454E-05,3.14077E-05,-1.63249E-06,-4.77238E-05,-9.01453E-05,-6.63842E-05,-4.69515E-05,-3.24637E-05,-2.17961E-05,-1.26155E-05,-1.31486E-06,9.072E-06,1.74102E-05,2.46448E-05,2.96867E-05,3.26255E-05,3.44209E-05,3.60652E-05,3.72731E-05,3.75668E-05,3.82044E-05,3.79585E-05,3.31053E-05,2.80895E-05,2.38695E-05,1.99773E-05,1.67588E-05,1.42906E-05,1.26443E-05,1.16104E-05,1.07428E-05,9.80392E-06,8.7362E-06,7.70667E-06,4.36632E-06,1.48482E-06,-2.74081E-06,-9.86504E-06,-2.49831E-06,3.15762E-07,3.49911E-07,-2.17745E-07,-7.89985E-07,-1.20104E-06,-1.41993E-06,-1.44449E-06,-1.35207E-06,-1.16735E-06,-9.88329E-07,-8.06617E-07,-6.26781E-07,-4.567E-07,-2.49974E-07,-1.37343E-07,-1.07766E-07,-1.19209E-07,-1.50726E-07
780,780,SMI27T,0.007081453,0.001656089,0.000585676,0.000282838,0.000299782,0.00020227,0.000114112,-1.6864E-05,-8.78732E-05,-0.000129403,-0.000163686,-0.000186147,-0.000210912,-0.000231726,-0.000242955,-0.000248395,-0.000231351,-0.000190437,-0.000155032,-0.000133215,-0.000126786,-0.00011073,-8.56063E-05,-7.69492E-05,-6.62523E-05,-5.15187E-05,-3.48232E-05,-1.72569E-05,-5.10293E-06,2.68297E-06,7.58727E-06,1.07945E-05,1.25992E-05,1.42616E-05,1.82201E-05,2.35403E-05,2.86035E-05,3.22289E-05,3.29283E-05,3.28882E-05,3.02502E-05,2.65287E-05,2.2693E-05,1.94975E-05,1.70869E-05,1.52819E-05,1.38292E-05,1.25551E-05,1.12857E-05,1.00936E-05,8.9315E-06,5.36288E-06,2.71308E-06,-7.92411E-07,-4.8917E-06,-6.33135E-06,8.89507E-08,-1.05371E-07,-7.97633E-07,-1.32343E-06,-1.61614E-06,-1.69762E-06,-1.63681E-06,-1.45259E-06,-1.20951E-06,-1.01855E-06,-8.028E-07,-6.18422E-07,-4.27201E-07,-2.09495E-07,-1.23912E-07,-1.04187E-07,-1.27928E-07,-1.67029E-07
781,781,SMI28T,-0.000422957,-0.00185781,-0.000860895,-0.00049514,-0.00044737,-0.000319803,-0.000263312,-0.000240101,-0.000221753,-0.000202409,-0.000170477,-0.000163154,-0.000174223,-0.000191417,-0.000198857,-0.000194197,-0.000150874,-0.000100783,-7.44171E-05,-7.54968E-05,-9.38945E-05,-7.18121E-05,-5.12671E-05,-3.45624E-05,-2.85428E-05,-2.48092E-05,-2.35707E-05,-2.05255E-05,-1.57139E-05,-1.09587E-05,-8.42942E-06,-7.12242E-06,-2.12164E-06,4.48296E-06,1.05377E-05,1.5899E-05,2.01495E-05,2.35683E-05,2.95273E-05,3.01452E-05,3.01371E-05,2.80303E-05,2.51473E-05,2.25428E-05,2.02826E-05,1.81278E-05,1.60992E-05,1.43941E-05,1.30541E-05,1.17975E-05,1.05078E-05,6.48154E-06,4.01567E-06,9.84062E-07,-1.00721E-06,-8.3763E-06,-1.28101E-06,-1.09633E-06,-1.59523E-06,-1.92238E-06,-2.05757E-06,-1.98937E-06,-1.8284E-06,-1.54557E-06,-1.24336E-06,-1.0225E-06,-7.98104E-07,-6.04941E-07,-3.83008E-07,-1.84534E-07,-1.08935E-07,-1.0579E-07,-1.40246E-07,-1.83928E-07
782,782,SMI29T,0.001346869,-2.50882E-05,0.000168194,0.00020495,0.000342058,0.00037012,0.00030483,0.000267216,0.000243161,0.000215707,0.000160775,0.000105883,5.65792E-05,9.86119E-06,-2.33506E-05,-3.42635E-05,2.07625E-05,9.85552E-05,0.000144938,0.00015411,0.000152125,0.000106403,7.84263E-05,4.48508E-05,2.83088E-05,1.32788E-05,-1.39451E-06,-1.54224E-05,-2.65286E-05,-2.71312E-05,-2.18995E-05,-1.5819E-05,-1.06015E-05,-6.62308E-06,-2.68828E-06,1.77077E-06,6.8797E-06,1.16356E-05,2.0636E-05,2.31511E-05,2.49725E-05,2.6178E-05,2.66657E-05,2.54487E-05,2.31357E-05,2.03008E-05,1.77615E-05,1.57695E-05,1.40482E-05,1.25562E-05,1.13627E-05,7.49589E-06,5.43915E-06,2.88657E-06,1.79836E-06,-2.97848E-06,-4.80491E-06,-2.62512E-06,-2.55302E-06,-2.57076E-06,-2.49738E-06,-2.27985E-06,-2.00189E-06,-1.62894E-06,-1.26943E-06,-1.02165E-06,-7.93077E-07,-5.81277E-07,-3.37558E-07,-1.64272E-07,-1.03732E-07,-1.11934E-07,-1.55797E-07,-2.02529E-07
783,783,SMI30T,-0.001335312,0.000287826,0.000225595,0.0001985,9.5677E-05,8.20986E-05,8.47534E-05,0.000145295,0.000149601,0.000114501,7.3647E-05,4.30608E-05,3.15603E-05,2.4976E-05,2.79901E-05,4.27125E-05,0.000101492,0.000185103,0.000230712,0.000240991,0.000201363,0.000131027,0.000102236,5.97237E-05,2.33607E-05,-6.98957E-06,-1.31565E-05,-8.24454E-06,-5.38242E-06,-6.05479E-06,-9.5817E-06,-1.29586E-05,-1.41123E-05,-1.25386E-05,-9.22694E-06,-5.13005E-06,-1.16464E-06,2.54363E-06,1.1978E-05,1.61346E-05,1.99917E-05,2.34156E-05,2.51083E-05,2.53324E-05,2.36377E-05,2.14195E-05,1.90711E-05,1.68736E-05,1.49774E-05,1.34195E-05,1.21162E-05,8.96134E-06,6.75116E-06,4.82331E-06,3.91346E-06,3.2583E-07,-7.16412E-06,-4.40163E-06,-3.56951E-06,-3.21918E-06,-2.90606E-06,-2.55446E-06,-2.15176E-06,-1.69895E-06,-1.32258E-06,-1.01738E-06,-7.85089E-07,-5.42987E-07,-2.81575E-07,-1.48135E-07,-1.03391E-07,-1.24643E-07,-1.74011E-07,-2.21413E-07
784,784,SMI05T,0.006556925,0.002947275,0.003075732,0.002077375,0.001230325,0.000662332,0.000387277,0.00023078,0.000140622,7.08451E-05,1.42669E-05,-3.21933E-05,-7.43382E-05,-0.000105389,-0.000128079,-0.000139467,-0.00014657,-0.000149653,-0.000148047,-0.000144209,-0.000138755,-0.000103408,-6.88863E-05,-4.17936E-05,-2.52794E-05,-1.01941E-05,3.38901E-06,2.93501E-05,4.08696E-05,4.51068E-05,5.51066E-05,6.03058E-05,6.2282E-05,6.20614E-05,6.0685E-05,5.81662E-05,5.46201E-05,5.20305E-05,4.64255E-05,4.15796E-05,3.67498E-05,3.23707E-05,2.83851E-05,2.53492E-05,2.31614E-05,2.15454E-05,2.05298E-05,1.9435E-05,1.81489E-05,1.669E-05,1.5225E-05,1.22911E-05,8.34126E-06,4.22499E-06,-3.25489E-06,-8.87773E-06,-3.19949E-06,-1.41306E-06,-1.49986E-06,-1.80661E-06,-1.95819E-06,-1.95943E-06,-1.79638E-06,-1.55546E-06,-1.30114E-06,-1.06444E-06,-8.77219E-07,-6.9306E-07,-5.11159E-07,-3.15446E-07,-1.99555E-07,-1.62728E-07,-1.59423E-07,-1.79101E-07
785,785,STN01T,-0.000551141,0.000237296,-0.000317856,-0.000401468,-0.000362995,-0.000370998,-0.000354278,-0.000321162,-0.000281662,-0.000265904,-0.000256794,-0.000257273,-0.000259316,-0.000267376,-0.000276362,-0.000281809,-0.000269975,-0.000247028,-0.000232119,-0.000232607,-0.000212154,-0.000144565,-0.00012354,-9.1579E-05,-5.27066E-05,-6.66707E-06,4.50428E-05,0.000100767,0.000155862,0.000198061,0.000222081,0.000233276,0.000234743,0.000229422,0.00022004,0.000208825,0.000197302,0.000185986,0.000156286,0.000136669,0.000117728,0.000100354,8.49992E-05,7.1849E-05,6.00181E-05,4.88008E-05,3.83683E-05,2.88564E-05,2.03484E-05,1.29754E-05,6.84958E-06,-4.60175E-06,-9.06619E-06,-1.08882E-05,-1.1465E-05,-1.02719E-05,-8.6303E-06,-6.74345E-06,-4.9172E-06,-3.20713E-06,-1.62611E-06,-3.74401E-07,4.19696E-07,8.0749E-07,1.01315E-06,8.76679E-07,5.14146E-07,1.27787E-07,-2.01228E-07,-4.88908E-07,-6.36289E-07,-7.02105E-07,-7.56463E-07,-8.2893E-07
786,786,STN02T,-0.000279821,-0.001307496,-0.001175428,-0.000860448,-0.000712343,-0.00059159,-0.00047013,-0.000373779,-0.000296076,-0.000235682,-0.000192352,-0.000156299,-0.000132133,-0.000112586,-9.68032E-05,-8.78466E-05,-8.42219E-05,-8.09065E-05,-6.91447E-05,-4.88955E-05,-0.000126199,-7.35114E-05,-7.40719E-05,-5.84505E-05,-3.2406E-05,2.2844E-06,4.2773E-05,8.63994E-05,0.000129144,0.000166664,0.000193048,0.000206186,0.000209971,0.0002073,0.000200938,0.000192485,0.000183176,0.000173929,0.00014766,0.00013009,0.000112747,9.6583E-05,8.1878E-05,6.89735E-05,5.72859E-05,4.6226E-05,3.57795E-05,2.61701E-05,1.76456E-05,1.04346E-05,4.68893E-06,-4.60175E-06,-9.06619E-06,-1.08882E-05,-1.1465E-05,-1.02719E-05,-8.6303E-06,-6.74345E-06,-4.9172E-06,-3.20713E-06,-1.62611E-06,-3.74401E-07,4.19696E-07,8.0749E-07,1.01315E-06,8.76679E-07,5.14146E-07,1.27787E-07,-2.01228E-07,-4.88908E-07,-6.36289E-07,-7.02105E-07,-7.56463E-07,-8.2893E-07
787,787,STN03T,0.000162278,0.000448648,0.000279301,0.000238349,0.000235283,0.000118698,4.47348E-05,6.39193E-06,1.1567E-05,3.31231E-05,5.78155E-05,8.45E-05,0.000106619,0.000129577,0.000153574,0.000177102,0.000196302,0.000214319,0.000227378,0.000235515,0.000147283,0.000171664,0.000187548,0.000163066,0.000152772,0.000152433,0.000158653,0.000170875,0.000185261,0.000199321,0.000211348,0.000217409,0.000215532,0.000209486,0.000201144,0.000191535,0.000181695,0.000172539,0.00014435,0.00012651,0.000109331,9.36988E-05,7.92434E-05,6.65131E-05,5.47295E-05,4.37413E-05,3.33052E-05,2.36898E-05,1.52986E-05,8.41529E-06,3.16595E-06,-4.60175E-06,-9.06619E-06,-1.08882E-05,-1.1465E-05,-1.02719E-05,-8.6303E-06,-6.74345E-06,-4.9172E-06,-3.20713E-06,-1.62611E-06,-3.74401E-07,4.19696E-07,8.0749E-07,1.01315E-06,8.76679E-07,5.14146E-07,1.27787E-07,-2.01228E-07,-4.88908E-07,-6.36289E-07,-7.02105E-07,-7.56463E-07,-8.2893E-07
788,788,STN04T,0.001622286,0.000933866,0.000815841,0.000641966,0.000538069,0.000472346,0.000436368,0.000415228,0.000399498,0.00039325,0.000384725,0.000387779,0.000398605,0.000414372,0.000433189,0.000452807,0.000469353,0.000482808,0.000491514,0.000495908,0.000373315,0.000382332,0.000369458,0.000357394,0.000322481,0.00029743,0.000280988,0.000269314,0.000261175,0.000256554,0.000254188,0.000249946,0.000240406,0.000228981,0.000216811,0.000204347,0.000192416,0.000181481,0.000149653,0.00012968,0.000111319,9.47888E-05,8.03407E-05,6.7206E-05,5.52133E-05,4.41549E-05,3.37014E-05,2.40917E-05,1.57201E-05,8.85493E-06,3.64618E-06,-2.99104E-06,-8.23304E-06,-1.04507E-05,-1.11734E-05,-1.00799E-05,-8.58161E-06,-6.73795E-06,-4.81116E-06,-3.04896E-06,-1.52694E-06,-2.99161E-07,5.16178E-07,9.32461E-07,1.11046E-06,9.75572E-07,5.96295E-07,1.80435E-07,-1.87731E-07,-4.84283E-07,-6.51558E-07,-7.51893E-07,-8.44316E-07,-9.57291E-07
