OBJECTID_1,OBJECTID,PadID,tpi_9m,tpi_15m,tpi_21m,tpi_27m,tpi_33m,tpi_39m,tpi_45m,tpi_51m,tpi_57m,tpi_63m,tpi_69m,tpi_75m,tpi_81m,tpi_87m,tpi_93m,tpi_99m,tpi_105m,tpi_111m,tpi_117m,tpi_123m,tpi_130m,tpi_150m,tpi_170m,tpi_190m,tpi_210m,tpi_230m,tpi_250m,tpi_270m,tpi_290m,tpi_310m,tpi_330m,tpi_350m,tpi_370m,tpi_390m,tpi_410m,tpi_430m,tpi_450m,tpi_470m,tpi_490m,tpi_510m,tpi_530m,tpi_550m,tpi_570m,tpi_590m,tpi_610m,tpi_630m,tpi_650m,tpi_670m,tpi_690m,tpi_710m,tpi_730m,tpi_750m,tpi_770m,tpi_790m,tpi_810m,tpi_830m,tpi_850m,tpi_870m,tpi_890m,tpi_910m,tpi_930m,tpi_950m,tpi_970m,tpi_990m,tpi_1010m,tpi_1110m,tpi_1290m,tpi_1470m,tpi_1650m,tpi_1830m,tpi_2010m,tpi_2190m,tpi_2370m,tpi_2550m,tpi_2730m,tpi_2910m,tpi_3090m,tpi_3270m,tpi_3450m,tpi_3630m,tpi_3810m,tpi_3990m,tpi_4170m,tpi_4350m,tpi_4530m,tpi_4710m,tpi_4890m,tpi_5070m
149,149,ARM13C,-0.064147949,-0.194702148,-0.317657471,-0.456390381,-0.593353271,-0.738494873,-0.885528564,-1.015716553,-1.144927979,-1.258972168,-1.367034912,-1.470428467,-1.571380615,0,-1.772033691,-1.887817383,-2.026275635,-2.162445068,-2.301391602,-2.427856445,-2.652618408,-2.991577148,-3.20489502,-3.289215088,-3.278137207,-3.203399658,-3.046112061,-2.822479248,-2.58380127,-2.327362061,-2.053588867,-1.74206543,-1.422668457,-1.066162109,-0.710540771,-0.311340332,0.122772217,0.551483154,0.999816895,1.450714111,1.848419189,2.211120605,2.537536621,2.811523438,3.062652588,3.287261963,3.504211426,3.704345703,3.903503418,4.086151123,4.257873535,4.408782959,4.541381836,4.662078857,4.76361084,4.843688965,4.905426025,4.952636719,4.999938965,5.052093506,5.097351074,5.13369751,5.15246582,5.163452148,5.162078857,5.98614502,5.76864624,6.020782471,6.62512207,7.377716064,8.298919678,9.702636719,10.93887329,11.972229,12.71188354,13.34350586,14.20785522,15.22897339,16.35525513,17.4916687,18.39321899,19.10443115,19.668396,20.07226563,20.33361816,20.48864746,20.72479248,20.93640137
150,150,ARM16C,-0.027587891,-0.07421875,-0.129058838,-0.213378906,-0.309234619,-0.413299561,-0.517547607,-0.614379883,-0.727111816,-0.849639893,-0.992034912,-1.149993896,-1.311248779,0,-1.621124268,-1.774658203,-1.926422119,-2.065887451,-2.209503174,-2.341247559,-2.515991211,-2.985443115,-3.409057617,-3.723999023,-3.918670654,-4.003326416,-3.981231689,-3.868164063,-3.691619873,-3.486022949,-3.236114502,-2.959747314,-2.681213379,-2.385803223,-2.067871094,-1.723999023,-1.343902588,-0.961151123,-0.546722412,-0.113922119,0.266815186,0.640472412,0.998321533,1.326629639,1.638671875,1.913116455,2.180419922,2.422119141,2.657196045,2.859558105,3.042816162,3.188446045,3.311218262,3.428009033,3.543762207,3.65814209,3.763763428,3.847595215,3.913146973,3.96875,4.010345459,4.042785645,4.059875488,4.062744141,4.055725098,3.447509766,3.36340332,3.677825928,4.23928833,4.990447998,5.963195801,7.290740967,8.502471924,9.555358887,10.33480835,11.0062561,11.81341553,12.8059082,13.93884277,15.06924438,15.91363525,16.60183716,17.15646362,17.56167603,17.84344482,17.98327637,18.20550537,18.4390564
151,151,ARM17C,-0.005523682,-0.00567627,-0.012756348,-0.0284729,-0.056304932,-0.104675293,-0.171539307,-0.241241455,-0.31539917,-0.382720947,-0.445953369,-0.502380371,-0.5574646,0,-0.675415039,-0.751831055,-0.846801758,-0.948455811,-1.071929932,-1.199676514,-1.622161865,-2.190887451,-2.660400391,-3.078430176,-3.400115967,-3.6199646,-3.748626709,-3.808868408,-3.802703857,-3.729095459,-3.58706665,-3.414306641,-3.222198486,-3.011108398,-2.773834229,-2.495635986,-2.165008545,-1.8125,-1.428833008,-1.03894043,-0.66619873,-0.286560059,0.09765625,0.462982178,0.821960449,1.148681641,1.460235596,1.726013184,1.976837158,2.195739746,2.397491455,2.566619873,2.711456299,2.857330322,3.002990723,3.141052246,3.261871338,3.358703613,3.435333252,3.495788574,3.537658691,3.562805176,3.571838379,3.56338501,3.547576904,4.47177124,4.418426514,4.738586426,5.282989502,6.022399902,7.000366211,8.27331543,9.496673584,10.56549072,11.37322998,12.06433105,12.83856201,13.80465698,14.92956543,16.03167725,16.85327148,17.5302124,18.07736206,18.47991943,18.76647949,18.90716553,19.12225342,19.36300659
152,152,ARM18C,0.035522461,0.086791992,0.127319336,0.159851074,0.168243408,0.151733398,0.113708496,0.064575195,0.011138916,-0.031066895,-0.063171387,-0.086029053,-0.110931396,0,-0.197937012,-0.270172119,-0.365509033,-0.46572876,-0.580322266,-0.691375732,-0.947570801,-1.472106934,-1.976898193,-2.473327637,-2.860626221,-3.158660889,-3.372528076,-3.516998291,-3.606384277,-3.643920898,-3.619812012,-3.54586792,-3.427520752,-3.28314209,-3.098907471,-2.862213135,-2.574188232,-2.272674561,-1.945159912,-1.591247559,-1.247039795,-0.889282227,-0.508453369,-0.128295898,0.265411377,0.628723145,0.972747803,1.263427734,1.534667969,1.769348145,1.989013672,2.182403564,2.357818604,2.527252197,2.689727783,2.834869385,2.961242676,3.064208984,3.146942139,3.214019775,3.253143311,3.272399902,3.272064209,3.255279541,3.23260498,3.303649902,3.175598145,3.433013916,3.983673096,4.677947998,5.616668701,6.838287354,8.087005615,9.204833984,10.05950928,10.74438477,11.47857666,12.38983154,13.48297119,14.53567505,15.34561157,16.00949097,16.55001831,16.94244385,17.22293091,17.3638916,17.5760498,17.82473755
153,153,ARM19C,-0.032043457,-0.074432373,-0.114562988,-0.156463623,-0.191558838,-0.22946167,-0.274261475,-0.319610596,-0.360290527,-0.387451172,-0.404724121,-0.416992188,-0.432098389,0,-0.468048096,-0.492523193,-0.53729248,-0.593383789,-0.675048828,-0.771362305,-0.920501709,-1.417724609,-1.948974609,-2.487304688,-2.921447754,-3.259246826,-3.515960693,-3.730865479,-3.910369873,-4.065979004,-4.192840576,-4.271240234,-4.263580322,-4.186340332,-4.050231934,-3.873840332,-3.65914917,-3.432220459,-3.172058105,-2.877929688,-2.583740234,-2.265625,-1.916015625,-1.543060303,-1.136291504,-0.743164063,-0.362091064,-0.032745361,0.282440186,0.552093506,0.802734375,1.028747559,1.234924316,1.43157959,1.61428833,1.772125244,1.904693604,2.011810303,2.097167969,2.162414551,2.19909668,2.214874268,2.208892822,2.182403564,2.14630127,1.877960205,1.690216064,1.896240234,2.430938721,3.095336914,3.992095947,5.16305542,6.4269104,7.589172363,8.492584229,9.173980713,9.868927002,10.72366333,11.78067017,12.7824707,13.5802002,14.23428345,14.76620483,15.15014648,15.42123413,15.56686401,15.77441406,16.02838135
154,154,ARM20C,-0.040008545,-0.100006104,-0.16015625,-0.240356445,-0.315490723,-0.392669678,-0.470397949,-0.535186768,-0.605957031,-0.674499512,-0.742004395,-0.80871582,-0.875183105,0,-1.004699707,-1.084289551,-1.174591064,-1.265289307,-1.367340088,-1.476623535,-1.741271973,-2.153808594,-2.564697266,-2.99899292,-3.403442383,-3.756317139,-4.046966553,-4.319641113,-4.581298828,-4.857696533,-5.114196777,-5.303192139,-5.380401611,-5.381652832,-5.319885254,-5.213256836,-5.069610596,-4.913421631,-4.731231689,-4.505432129,-4.253143311,-3.959838867,-3.638763428,-3.300476074,-2.929321289,-2.544158936,-2.140136719,-1.768341064,-1.394989014,-1.068908691,-0.766540527,-0.499084473,-0.265655518,-0.052703857,0.144897461,0.320220947,0.472351074,0.585571289,0.66607666,0.724945068,0.757629395,0.771697998,0.761383057,0.725921631,0.676239014,0.682037354,0.376190186,0.520477295,1.054229736,1.706878662,2.566925049,3.72756958,5.00189209,6.183227539,7.11618042,7.765808105,8.448730469,9.279144287,10.31393433,11.29721069,12.10534668,12.76266479,13.29766846,13.67352295,13.93206787,14.07852173,14.28668213,14.53790283
155,155,ARM26C,-0.024505615,-0.059875488,-0.106262207,-0.188079834,-0.29598999,-0.432312012,-0.580963135,-0.71987915,-0.86239624,-1.000762939,-1.156036377,-1.333526611,-1.541900635,0,-2.020477295,-2.286590576,-2.556793213,-2.799560547,-3.029968262,-3.23449707,-3.420196533,-3.924102783,-4.326538086,-4.666412354,-4.953948975,-5.24319458,-5.490234375,-5.667633057,-5.771087646,-5.815979004,-5.818084717,-5.793060303,-5.711853027,-5.584472656,-5.395568848,-5.138641357,-4.828369141,-4.505615234,-4.148651123,-3.770721436,-3.41607666,-3.043640137,-2.658996582,-2.294647217,-1.936523438,-1.599609375,-1.266906738,-0.965423584,-0.66986084,-0.408935547,-0.167449951,0.047668457,0.233825684,0.402557373,0.550689697,0.685974121,0.813751221,0.927154541,1.019592285,1.093078613,1.134368896,1.152313232,1.147613525,1.127807617,1.09552002,1.122650146,0.829528809,1.005645752,1.600189209,2.273040771,3.172210693,4.442199707,5.700866699,6.824829102,7.682922363,8.31036377,9.062316895,9.981170654,11.06774902,12.12457275,12.96963501,13.64492798,14.19741821,14.58529663,14.84963989,14.9887085,15.21084595,15.45178223
156,156,ARM25C,-0.019989014,-0.053955078,-0.101593018,-0.179626465,-0.272460938,-0.377868652,-0.485412598,-0.586517334,-0.697296143,-0.813720703,-0.95211792,-1.12387085,-1.330413818,0,-1.797973633,-2.062408447,-2.319976807,-2.547943115,-2.764038086,-2.960083008,-3.065216064,-3.57623291,-3.980255127,-4.350280762,-4.678344727,-4.995178223,-5.253875732,-5.445800781,-5.576171875,-5.658447266,-5.695556641,-5.697845459,-5.637573242,-5.524658203,-5.347930908,-5.105682373,-4.815185547,-4.512695313,-4.178131104,-3.821807861,-3.480255127,-3.117034912,-2.73614502,-2.364654541,-1.998626709,-1.649291992,-1.30267334,-0.98928833,-0.686431885,-0.419525146,-0.171966553,0.047698975,0.237213135,0.410247803,0.566314697,0.708770752,0.841766357,0.956115723,1.047485352,1.120788574,1.162017822,1.178436279,1.171112061,1.148254395,1.114135742,1.122650146,0.829528809,1.005645752,1.600189209,2.273040771,3.172210693,4.442199707,5.700866699,6.824829102,7.682922363,8.31036377,9.062316895,9.981170654,11.06774902,12.12457275,12.96963501,13.64492798,14.19741821,14.58529663,14.84963989,14.9887085,15.21084595,15.45178223
157,157,ARM22C,-0.01171875,-0.050628662,-0.094085693,-0.145721436,-0.18536377,-0.220581055,-0.261230469,-0.307647705,-0.380249023,-0.483917236,-0.630371094,-0.819610596,-1.042175293,0,-1.515777588,-1.756317139,-1.979034424,-2.179656982,-2.366394043,-2.53112793,-2.623016357,-2.935882568,-3.24786377,-3.574615479,-3.890258789,-4.244628906,-4.568603516,-4.861114502,-5.115234375,-5.352935791,-5.536590576,-5.653411865,-5.669433594,-5.600738525,-5.47088623,-5.304199219,-5.097839355,-4.880645752,-4.635070801,-4.356018066,-4.059936523,-3.7159729,-3.35446167,-2.992553711,-2.622253418,-2.260955811,-1.889373779,-1.535827637,-1.182739258,-0.870330811,-0.580841064,-0.326477051,-0.111816406,0.083648682,0.263183594,0.429168701,0.577423096,0.694396973,0.783172607,0.850738525,0.887878418,0.904724121,0.893676758,0.860839844,0.817230225,1.063903809,0.69241333,0.815368652,1.392028809,2.043273926,2.90637207,4.112579346,5.387512207,6.549713135,7.461608887,8.085571289,8.793518066,9.655700684,10.70965576,11.71911621,12.55142212,13.21884155,13.76452637,14.14282227,14.39761353,14.5411377,14.75622559,15.00088501
158,158,ARM27C,-0.052062988,-0.120727539,-0.192077637,-0.275726318,-0.357879639,-0.453521729,-0.568939209,-0.700622559,-0.854278564,-1.033782959,-1.263427734,-1.519866943,-1.771881104,0,-2.230651855,-2.457519531,-2.675262451,-2.872009277,-3.063446045,-3.238616943,-3.475006104,-3.933441162,-4.278167725,-4.555511475,-4.77166748,-4.993865967,-5.201538086,-5.363006592,-5.436767578,-5.442932129,-5.402496338,-5.336547852,-5.232452393,-5.070526123,-4.8515625,-4.576019287,-4.243133545,-3.893707275,-3.506958008,-3.100769043,-2.719726563,-2.333831787,-1.952178955,-1.596374512,-1.25302124,-0.938323975,-0.634155273,-0.3543396,-0.074707031,0.178466797,0.412902832,0.621368408,0.805358887,0.973144531,1.117156982,1.238677979,1.355377197,1.461853027,1.554870605,1.628326416,1.669281006,1.692230225,1.693603516,1.679046631,1.651397705,1.353759766,1.025421143,1.200561523,1.811584473,2.496307373,3.390350342,4.705993652,5.963195801,7.066955566,7.898132324,8.509094238,9.291900635,10.24188232,11.33889771,12.41479492,13.28442383,13.97122192,14.52941895,14.92221069,15.18060303,15.32254028,15.55133057,15.78341675
