station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA1541,CLARION,2017-01-01,1,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-02,2,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-03,3,0.07,1.8,True,2017,NWS_COOP
IA1541,CLARION,2017-01-04,4,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-05,5,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-06,6,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-07,7,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-08,8,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-09,9,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-10,10,0.0001,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-11,11,0.07,1.8,True,2017,NWS_COOP
IA1541,CLARION,2017-01-12,12,0.0001,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-13,13,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-14,14,0.05,1.3,True,2017,NWS_COOP
IA1541,CLARION,2017-01-15,15,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-16,16,0.25,6.4,True,2017,NWS_COOP
IA1541,CLARION,2017-01-17,17,0.43,10.9,True,2017,NWS_COOP
IA1541,CLARION,2017-01-18,18,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-19,19,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-20,20,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-21,21,0.2,5.1,True,2017,NWS_COOP
IA1541,CLARION,2017-01-22,22,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-23,23,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-24,24,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-25,25,0.73,18.5,True,2017,NWS_COOP
IA1541,CLARION,2017-01-26,26,0.19,4.8,True,2017,NWS_COOP
IA1541,CLARION,2017-01-27,27,0.0,0.0,True,2017,NWS_COOP
IA1541,CLARION,2017-01-28,28,0.0,0.0,True,2017,NWS_COOP
