station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA4228,JEFFERSON,2016-06-16,168,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-17,169,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-18,170,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-19,171,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-20,172,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-21,173,0.05,1.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-22,174,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-23,175,0.01,0.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-24,176,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-25,177,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-26,178,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-27,179,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-28,180,0.01,0.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-29,181,0.05,1.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-06-30,182,0.31,7.9,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-01,183,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-02,184,0.04,1.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-03,185,0.13,3.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-04,186,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-05,187,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-06,188,0.27,6.9,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-07,189,0.78,19.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-08,190,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-09,191,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-10,192,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-11,193,0.33,8.4,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-12,194,0.99,25.1,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-13,195,0.05,1.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-14,196,0.09,2.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-15,197,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-16,198,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-17,199,0.69,17.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-18,200,0.67,17.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-19,201,0.45,11.4,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-20,202,1.14,29.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-21,203,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-22,204,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-23,205,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-24,206,0.07,1.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-25,207,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-26,208,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-27,209,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-28,210,0.17,4.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-29,211,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-30,212,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-07-31,213,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-01,214,0.34,8.6,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-02,215,0.55,14.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-03,216,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-04,217,0.01,0.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-05,218,0.16,4.1,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-06,219,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-07,220,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-08,221,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-09,222,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-10,223,0.04,1.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-11,224,0.65,16.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-12,225,1.76,44.7,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-13,226,0.01,0.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-14,227,0.02,0.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-15,228,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-16,229,0.03,0.8,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-17,230,0.13,3.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-18,231,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-19,232,0.06,1.5,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-20,233,0.83,21.1,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-21,234,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-22,235,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-23,236,0.0,0.0,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-24,237,0.42,10.7,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-25,238,0.17,4.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-26,239,0.01,0.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-27,240,0.05,1.3,True,2016,NWS_COOP
IA4228,JEFFERSON,2016-08-28,241,0.03,0.8,True,2016,NWS_COOP
