station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA1319,CEDAR-RAPIDS-1,2018-01-01,1,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-02,2,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-03,3,0.02,0.5,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-04,4,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-05,5,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-06,6,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-07,7,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-08,8,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-09,9,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-10,10,0.0001,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-11,11,0.0001,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-12,12,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-13,13,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-14,14,0.0001,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-15,15,0.09,2.3,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-16,16,0.02,0.5,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-17,17,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-18,18,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-19,19,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-20,20,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-21,21,0.02,0.5,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-22,22,0.66,16.8,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-23,23,0.02,0.5,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-24,24,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-25,25,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-26,26,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-27,27,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-28,28,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-29,29,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-30,30,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-01-31,31,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-01,32,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-02,33,0.0001,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-03,34,0.07,1.8,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-04,35,0.03,0.8,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-05,36,0.21,5.3,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-06,37,0.0001,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-07,38,0.0001,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-08,39,0.02,0.5,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-09,40,0.39,9.9,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-10,41,0.21,5.3,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-11,42,0.04,1.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-12,43,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-13,44,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-14,45,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-15,46,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-16,47,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-17,48,0.04,1.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-18,49,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-19,50,0.29,7.4,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-20,51,0.62,15.7,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-21,52,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-22,53,0.06,1.5,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-23,54,0.15,3.8,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-24,55,0.03,0.8,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-25,56,0.21,5.3,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-26,57,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-27,58,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-02-28,59,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-01,60,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-02,61,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-03,62,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-04,63,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-05,64,0.64,16.3,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-06,65,0.09,2.3,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-07,66,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-08,67,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-09,68,0.0,0.0,True,2018,NWS_COOP
IA1319,CEDAR-RAPIDS-1,2018-03-10,69,0.0,0.0,True,2018,NWS_COOP
