station,station_name,day,doy,precip,precipmm,precip_estimated,Year,network
IA4228,JEFFERSON,2020-01-01,1,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-02,2,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-03,3,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-04,4,0.14,3.6,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-05,5,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-06,6,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-07,7,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-08,8,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-09,9,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-10,10,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-11,11,0.02,0.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-12,12,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-13,13,0.07,1.8,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-14,14,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-15,15,0.02,0.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-16,16,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-17,17,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-18,18,0.63,16.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-19,19,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-20,20,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-21,21,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-22,22,0.1,2.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-23,23,0.22,5.6,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-24,24,0.04,1.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-25,25,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-26,26,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-27,27,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-28,28,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-29,29,0.08,2.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-30,30,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-01-31,31,0.02,0.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-01,32,0.03,0.8,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-02,33,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-03,34,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-04,35,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-05,36,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-06,37,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-07,38,0.07,1.8,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-08,39,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-09,40,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-10,41,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-11,42,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-12,43,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-13,44,0.03,0.8,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-14,45,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-15,46,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-16,47,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-17,48,0.11,2.8,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-18,49,0.42,10.7,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-19,50,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-20,51,0.04,1.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-21,52,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-22,53,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-23,54,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-24,55,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-25,56,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-26,57,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-27,58,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-28,59,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-02-29,60,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-01,61,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-02,62,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-03,63,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-04,64,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-05,65,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-06,66,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-07,67,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-08,68,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-09,69,0.01,0.3,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-10,70,0.16,4.1,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-11,71,0.02,0.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-12,72,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-13,73,0.0,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-14,74,0.06,1.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-15,75,0.06,1.5,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-16,76,0.0001,0.0,True,2020,NWS_COOP
IA4228,JEFFERSON,2020-03-17,77,0.0,0.0,True,2020,NWS_COOP
